district,population,avg_prod_k,shareable,T_rebuild_K,income_elast,max_increased_spending,pi,rho,protection,gdp_pc_prov,gdp_pc_nat,pop,tau_tax
Colombo,2225629.4112415314,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,180634.3379839622,128783.57350324852,2225629.4112415314,0.027850261900978352
Gampaha,2249491.0662584305,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,167954.6863911413,128783.57350324852,2249491.0662584305,0.027850261900978352
Kalutara,1199999.6694717407,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,153475.87167665124,128783.57350324852,1199999.6694717407,0.027850261900978352
Kandy,1337618.181098938,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,125520.65220144957,128783.57350324852,1337618.181098938,0.027850261900978352
Matale,472935.48822402954,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,125835.53724192762,128783.57350324852,472935.48822402954,0.027850261900978352
Nuwara Eliya,704481.8135375977,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,96246.00329462503,128783.57350324852,704481.8135375977,0.027850261900978352
Galle,1038462.0117416382,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,114631.48123967819,128783.57350324852,1038462.0117416382,0.027850261900978352
Matara,798949.2004203796,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,123173.67511244917,128783.57350324852,798949.2004203796,0.027850261900978352
Hambantota,588832.180978775,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,126184.09071626923,128783.57350324852,588832.180978775,0.027850261900978352
Jaffna,580382.626411438,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,102257.50371694696,128783.57350324852,580382.626411438,0.027850261900978352
Mannar,96926.78565216064,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,75120.89564004992,128783.57350324852,96926.78565216064,0.027850261900978352
Vavuniya,166535.99886322021,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,135033.80469738742,128783.57350324852,166535.99886322021,0.027850261900978352
Mullaitivu,90453.01899719238,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,66594.60677513973,128783.57350324852,90453.01899719238,0.027850261900978352
Kilinochchi,112666.04364013672,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,94203.67005204145,128783.57350324852,112666.04364013672,0.027850261900978352
Batticaloa,519869.876663208,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,86409.50388314307,128783.57350324852,519869.876663208,0.027850261900978352
Ampara,640653.0275878906,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,95131.93822317295,128783.57350324852,640653.0275878906,0.027850261900978352
Trincomalee,374080.64920043945,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,94515.88114422974,128783.57350324852,374080.64920043945,0.027850261900978352
Kurunegala,1577116.209602356,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,122877.9673447987,128783.57350324852,1577116.209602356,0.027850261900978352
Puttalam,751799.2429351807,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,130911.75874132286,128783.57350324852,751799.2429351807,0.027850261900978352
Anuradhapura,826893.0331435204,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,110404.74045441355,128783.57350324852,826893.0331435204,0.027850261900978352
Polonnaruwa,392103.6417250633,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,157226.7212376457,128783.57350324852,392103.6417250633,0.027850261900978352
Badulla,796074.1737976074,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,105182.36720363148,128783.57350324852,796074.1737976074,0.027850261900978352
Moneragala,440183.41630744934,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,81285.63746581103,128783.57350324852,440183.41630744934,0.027850261900978352
Rathnapura,1074393.969078064,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,97029.7187171746,128783.57350324852,1074393.969078064,0.027850261900978352
Kegalle,823559.7900543213,0.337960802589002,0.8,3.0,1.5,0.05,0.2,0.1013882407767006,5,113360.50139297028,128783.57350324852,823559.7900543213,0.027850261900978352
