region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,1000,243302.09000000003,37677.9300212425,0.0
ARMM,PF,1000,98041.719,14728.503102801056,0.0
ARMM,PF,1000,116599.21000000002,10770.63136268133,0.0
ARMM,PF,1000,21066.311000000005,6610.446948336204,5757.233584624258
ARMM,PF,1000,26179.943,2027.9385827453282,0.0
ARMM,PF,1000,23040.299000000006,5223.393200458118,16.051742985736695
ARMM,PF,1000,18463.852000000006,5701.548328611747,4965.6469189430045
ARMM,PF,1000,25606.15000000001,7884.873405134804,203.56408086189728
ARMM,PF,1000,25441.725,9562.747144640034,1296.586229371963
ARMM,PF,1000,32336.27100000001,5157.162146051006,0.15170926241315888
ARMM,PF,1000,28000.33800000001,4112.712861009953,0.05760817303458957
ARMM,PF,1000,24290.74000000001,7258.021278979463,190.6120728710633
ARMM,PF,1000,14660.443000000005,4951.847736433665,4312.710519720149
ARMM,PF,1000,25692.90800000001,2916.2106799482444,0.017752577846055103
ARMM,PF,1000,28644.793000000005,10104.164037635257,448.70094942614713
ARMM,PF,1000,21983.363000000005,9480.816058729986,8257.12286167026
ARMM,PF,1000,41782.48800000001,7015.908202080722,0.0
ARMM,PF,1000,75756.96100000001,7456.905664491569,0.0
ARMM,PF,1000,17893.768000000004,4135.608006646417,3601.823219335938
ARMM,PF,1000,20441.686,4364.334160681961,35.34474262212877
ARMM,PF,1000,20354.516000000007,2675.6868502653024,0.0
ARMM,PF,1000,29381.92200000001,6230.833107670723,0.0
ARMM,PF,1000,14467.27099999999,1793.8031162882214,1562.1749831047207
ARMM,PF,1000,9765.75679999997,1233.9573223765528,1074.551165111561
ARMM,PF,1000,14189.76599999998,1011.9765214177294,881.20177630744
ARMM,PF,1000,26386.826,2488.8158157203798,0.0
ARMM,PF,1000,24692.90000000001,8155.056248028935,464.97258265740237
ARMM,PF,1000,12662.072000000002,938.3973642052459,817.2779939312738
ARMM,PF,1000,16819.752000000008,1618.473529791745,1409.5764226483434
ARMM,PF,1000,14568.435,2221.322286818784,1934.5970108705253
ARMM,PF,1000,19211.766000000003,2891.2757161584514,0.6115012833898184
ARMM,PF,1000,16270.782000000007,5762.641877821314,5018.855096251156
ARMM,PF,1000,15593.180000000002,4940.208821628842,4302.573844889143
ARMM,PF,1000,16000.623,5255.892151735266,4577.511785454898
ARMM,PF,1000,13540.620999999996,4034.1061939549577,3513.3717126165257
ARMM,PF,1000,11936.803999999998,814.0508033697278,0.0
