district,hazard,rp,fa,v
Ampara,PF,5.0,0.006930608294579782,0.12724739820988862
Ampara,PF,10.0,0.008426316494905885,0.12673597931207511
Ampara,PF,25.0,0.009828234412043231,0.1261974324013904
Ampara,PF,50.0,0.010428821313164235,0.12622763417045377
Ampara,PF,100.0,0.011202179788580322,0.1266087768283294
Ampara,PF,250.0,0.01195743838478438,0.1270605924738838
Ampara,PF,500.0,0.01339720150391002,0.1262556706882553
Ampara,PF,1000.0,0.014224859616961731,0.12812667352294274
Anuradhapura,PF,5.0,0.006330466647397313,0.12356666583489245
Anuradhapura,PF,10.0,0.00935187802799778,0.12200406275451765
Anuradhapura,PF,25.0,0.010021512995061654,0.12093368532018609
Anuradhapura,PF,50.0,0.010336770694332248,0.1229126547045401
Anuradhapura,PF,100.0,0.011671438326280894,0.12210661754359682
Anuradhapura,PF,250.0,0.012866886317310634,0.12172128358425006
Anuradhapura,PF,500.0,0.013529617831105649,0.12201913215084044
Anuradhapura,PF,1000.0,0.015029968341503153,0.12247658735034794
Badulla,PF,5.0,0.004263967575954684,0.1594036083274976
Badulla,PF,10.0,0.0049131604137707605,0.15748791053847433
Badulla,PF,25.0,0.005452357122920164,0.1569517097411481
Badulla,PF,50.0,0.00582548124565165,0.15863089984804976
Badulla,PF,100.0,0.00601204330701756,0.15785788566246553
Badulla,PF,250.0,0.006368991528474515,0.1573879963392167
Badulla,PF,500.0,0.006467125329539702,0.15947867510902597
Badulla,PF,1000.0,0.006751821191970734,0.1575663755578938
Batticaloa,PF,5.0,0.02242391170786471,0.13205090552348234
Batticaloa,PF,10.0,0.027406758112357165,0.13178708230834166
Batticaloa,PF,25.0,0.029769143459507038,0.13343545631580894
Batticaloa,PF,50.0,0.03222858291989158,0.13415109314362303
Batticaloa,PF,100.0,0.03427995394962863,0.13314814462011404
Batticaloa,PF,250.0,0.0358548775143958,0.13460779699654854
Batticaloa,PF,500.0,0.03845107504342943,0.13350279996884232
Batticaloa,PF,1000.0,0.04739990543874808,0.13180946697341078
Colombo,PF,5.0,0.12412586759515694,0.13124235720099897
Colombo,PF,10.0,0.13133204411957303,0.13176424685722757
Colombo,PF,25.0,0.15561494670714765,0.13129971452694303
Colombo,PF,50.0,0.17667630335908313,0.13236016193217665
Colombo,PF,100.0,0.19439609065949418,0.13202465361408447
Colombo,PF,250.0,0.20639953337724085,0.13172288507165456
Colombo,PF,500.0,0.21595919657585325,0.13096894780192928
Colombo,PF,1000.0,0.22046062523655713,0.13191802191235788
Galle,PF,5.0,0.006917560529979395,0.12524695208389316
Galle,PF,10.0,0.007574196254036812,0.12692304670203208
Galle,PF,25.0,0.00898076982916152,0.12732340030995112
Galle,PF,50.0,0.011753427377124046,0.12798245779296483
Galle,PF,100.0,0.01338885522604888,0.12791803379309205
Galle,PF,250.0,0.014240897291581229,0.12779429273802315
Galle,PF,500.0,0.014662517280620768,0.12766310368035227
Galle,PF,1000.0,0.015273382149917648,0.12674548915487047
Gampaha,PF,5.0,0.026817850098786688,0.12566790865673247
Gampaha,PF,10.0,0.030172040839041382,0.12414452881568681
Gampaha,PF,25.0,0.041413783321350185,0.12564742840104112
Gampaha,PF,50.0,0.04427984634256051,0.12469537529865773
Gampaha,PF,100.0,0.04900654249801658,0.12445283261772419
Gampaha,PF,250.0,0.05080969761360618,0.12555639482180006
Gampaha,PF,500.0,0.05385037188846249,0.1252091898969959
Gampaha,PF,1000.0,0.05712966702865103,0.12412435295666417
Hambantota,PF,5.0,0.02716178153380753,0.12628596402236938
Hambantota,PF,10.0,0.03155195354910839,0.12544758548185764
Hambantota,PF,25.0,0.03612972543686759,0.1255449859614029
Hambantota,PF,50.0,0.040014047796073975,0.1277341669163235
Hambantota,PF,100.0,0.04097884714014573,0.12670872335704525
Hambantota,PF,250.0,0.045583419009684635,0.12927880664808367
Hambantota,PF,500.0,0.04723831788458535,0.12699016912684113
Hambantota,PF,1000.0,0.04942754139622235,0.12721789533830413
Kalutara,PF,5.0,0.047832421101091545,0.15159298318137368
Kalutara,PF,10.0,0.05514786984599606,0.150507746141506
Kalutara,PF,25.0,0.06427031190916886,0.15163580312787692
Kalutara,PF,50.0,0.0769817476169162,0.1509950056150948
Kalutara,PF,100.0,0.09080370526714987,0.14943345496627963
Kalutara,PF,250.0,0.09535242980275956,0.15179044883737947
Kalutara,PF,500.0,0.09861734765166917,0.1518332109645252
Kalutara,PF,1000.0,0.10236712954448902,0.15118210965689868
Kandy,PF,5.0,0.003359889984477003,0.1224017033716003
Kandy,PF,10.0,0.004471377191052688,0.12567505922535518
Kandy,PF,25.0,0.005705991216418146,0.12495766885666547
Kandy,PF,50.0,0.005828448867714701,0.1210571863238415
Kandy,PF,100.0,0.006276791088308134,0.12414820044769741
Kandy,PF,250.0,0.00703562702584984,0.12364777480854071
Kandy,PF,500.0,0.007446495866811466,0.123656797313727
Kandy,PF,1000.0,0.007642561942384584,0.12275156255016799
Kegalle,PF,5.0,0.017180214096720044,0.12644316486175777
Kegalle,PF,10.0,0.01813855665830391,0.12749474972415847
Kegalle,PF,25.0,0.02111035129270534,0.12799269388111886
Kegalle,PF,50.0,0.022128153064315002,0.12598487393573904
Kegalle,PF,100.0,0.022524547797816676,0.12605894327068654
Kegalle,PF,250.0,0.024304826497985595,0.12586785274254284
Kegalle,PF,500.0,0.025865922227865313,0.12728922588049374
Kegalle,PF,1000.0,0.026304288168443834,0.12740975518754222
Kurunegala,PF,5.0,0.01666048012207563,0.12552878461357875
Kurunegala,PF,10.0,0.01798051880427177,0.12398132284596973
Kurunegala,PF,25.0,0.020557559113018858,0.12497494005592996
Kurunegala,PF,50.0,0.022460957666099218,0.1256742970184911
Kurunegala,PF,100.0,0.024353137760126292,0.12386880420118312
Kurunegala,PF,250.0,0.025930132575926072,0.12444795627750586
Kurunegala,PF,500.0,0.027613435646586013,0.12406280711840728
Kurunegala,PF,1000.0,0.030516345480278723,0.12375875825604371
Mannar,PF,5.0,0.06972612395772274,0.163384581313218
Mannar,PF,10.0,0.08350958683771738,0.1649312803455079
Mannar,PF,25.0,0.08918810394108956,0.16620690789551995
Mannar,PF,50.0,0.09166508321169892,0.16718240677039323
Mannar,PF,100.0,0.0961640863766853,0.16328047281637031
Mannar,PF,250.0,0.10312321861316243,0.16345560837379777
Mannar,PF,500.0,0.12116978187046437,0.16620894009579235
Mannar,PF,1000.0,0.12784246072190508,0.16341821947113178
Matale,PF,5.0,0.0036024406084560682,0.12426386852829077
Matale,PF,10.0,0.005302857741333875,0.12144557362627954
Matale,PF,25.0,0.00721099050002427,0.12169995571753574
Matale,PF,50.0,0.0080764722742436,0.12033271995958512
Matale,PF,100.0,0.00896435475320725,0.12232406213652933
Matale,PF,250.0,0.010300251327061076,0.1222652599757626
Matale,PF,500.0,0.010300251327061076,0.12189608075788402
Matale,PF,1000.0,0.011375485154796715,0.12212899649403204
Moneragala,PF,5.0,0.0013954484979298296,0.138517331235259
Moneragala,PF,10.0,0.0017742441900355818,0.13616172834151677
Moneragala,PF,25.0,0.0017742441900355818,0.13974260411504966
Moneragala,PF,50.0,0.0020637834259555022,0.13733222783324442
Moneragala,PF,100.0,0.0022335883913822143,0.13903013291561295
Moneragala,PF,250.0,0.002721233420299956,0.13761191853805554
Moneragala,PF,500.0,0.0028431446775294368,0.13715422705286126
Moneragala,PF,1000.0,0.003306842852348566,0.13821324515487418
Mullaitivu,PF,5.0,0.004824112835928296,0.1764414701915397
Mullaitivu,PF,10.0,0.0066168574709015845,0.1772194288196523
Mullaitivu,PF,25.0,0.00806409132168007,0.1766054314752928
Mullaitivu,PF,50.0,0.009439615387059643,0.1800586611306322
Mullaitivu,PF,100.0,0.009439615387059643,0.17359438468704744
Mullaitivu,PF,250.0,0.010195827669448447,0.1747060123962062
Mullaitivu,PF,500.0,0.010254499312047482,0.1766043863296908
Mullaitivu,PF,1000.0,0.010254499312047482,0.17365561955963565
Nuwara Eliya,PF,5.0,3.44533858089924e-05,0.13707968470264725
Nuwara Eliya,PF,10.0,3.44533858089924e-05,0.13491246522455846
Nuwara Eliya,PF,25.0,3.44533858089924e-05,0.13652740841034125
Nuwara Eliya,PF,50.0,3.44533858089924e-05,0.13659464408163616
Nuwara Eliya,PF,100.0,3.44533858089924e-05,0.1359701167800901
Nuwara Eliya,PF,250.0,3.44533858089924e-05,0.1365302931385431
Nuwara Eliya,PF,500.0,3.44533858089924e-05,0.13541477495877385
Nuwara Eliya,PF,1000.0,3.44533858089924e-05,0.13760823194846097
Polonnaruwa,PF,5.0,0.06382672448590317,0.12577334097660092
Polonnaruwa,PF,10.0,0.07762842481721374,0.12578374279974652
Polonnaruwa,PF,25.0,0.09433044687295221,0.12856402268597303
Polonnaruwa,PF,50.0,0.09997391793369025,0.1239403639022534
Polonnaruwa,PF,100.0,0.10400146037912557,0.12656240896225926
Polonnaruwa,PF,250.0,0.11017784406831753,0.1275582260433032
Polonnaruwa,PF,500.0,0.112697513915279,0.12704083341124164
Polonnaruwa,PF,1000.0,0.11645491631864355,0.12920432525466888
Puttalam,PF,5.0,0.0395022040801248,0.1399828967609093
Puttalam,PF,10.0,0.04836220207336701,0.14102129691587173
Puttalam,PF,25.0,0.05783123623405827,0.1392534815092439
Puttalam,PF,50.0,0.061361280816257,0.13882134303855168
Puttalam,PF,100.0,0.06404695292552731,0.1381772880979741
Puttalam,PF,250.0,0.06797316666519089,0.1406626318476025
Puttalam,PF,500.0,0.0704672584654778,0.14042467049044852
Puttalam,PF,1000.0,0.07445733230813723,0.1399619032210623
Rathnapura,PF,5.0,0.12469429457209567,0.13204087142337811
Rathnapura,PF,10.0,0.1262078959377541,0.13277300414936066
Rathnapura,PF,25.0,0.12924368891518476,0.13141072415296992
Rathnapura,PF,50.0,0.12988881639850527,0.13144742024056638
Rathnapura,PF,100.0,0.13000392569645774,0.13132065397831658
Rathnapura,PF,250.0,0.13061641024453896,0.13163602751424888
Rathnapura,PF,500.0,0.13061641024453896,0.13057160549738786
Rathnapura,PF,1000.0,0.13061726926915104,0.13232436047758117
