,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,pov_line,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
171874,CAR,EQ,2000,1427810668,helped,a,Ifugao,179.45253,0,179.45253,0.0,0,0.0,37413.465000000004,22302.6775,102151.18169714966,9336.682308124287,111487.86400527395,62.73008452581578,3.1566523052790454,0.0063827362153755255,32566.21884787807,2976.572902122102,35542.79175000017,32566.21884787807,2976.572902122102,35542.79175000017,0.13358130405188662,3,15573.959716184301,5.63268004315001,200201.17376806278,13693.867824486371,0,0.0,0.010339892648490789,0.03172739953750324,0.0,0.0,0.0,True,88061.04069521245,25469.176500155252,45747.386367172905,2048.5043055673095,28074.223671288244,981.4169680785112,26082.52399604695,37845.832648279684,2048.5043055673095,20275.05321471237
171908,CAR,EQ,2000,1481115012,helped,a,Apayao,179.1256445,0,179.1256445,0.0,0,0.0,29956.889000000006,22302.6775,81792.25343924557,7475.863450037121,89268.1168892827,50.22785724606052,2.5275253901459966,0.0063827362153755255,26075.708389361724,2383.3361606384137,28459.044550000137,26075.708389361724,2383.3361606384137,28459.044550000137,0.16227281562067847,3,15573.959716184301,5.63268004315001,160300.69228390284,13693.867824486371,0,0.0,0.011555311052325518,0.005183585754549766,0.0,0.0,0.0,True,68297.92663801485,22815.43721330414,37132.69591403561,277.56750556730094,21773.661242060552,785.8186665000022,19586.36326524075,30669.26012184596,277.56750556730094,14314.731175341325
172025,CAR,EQ,2000,14112529294,helped,a,Benguet,916.2966315,0,916.2966315,0.0,0,1.0,32548.027000000016,22302.6775,88866.92050470959,8122.492473104316,96989.4129778139,54.57234407073857,2.7461451234691734,0.0063827362153755255,28331.14148472067,2589.4841652794944,30920.625650000162,28331.14148472067,2589.4841652794944,30920.625650000162,0.15081220419735625,3,15573.959716184301,5.63268004315001,174165.99102046824,13693.867824486371,0,0.0,0.011085815894822788,0.015562765860311049,0.0,0.0,0.0,True,75156.36874317526,25408.280485128333,41783.423777018674,892.9627805673072,23960.1609265609,853.7884950051416,21840.832778246237,33175.330407873786,892.9627805673072,16372.39714676687
172127,CAR,EQ,2000,14135023148,helped,a,Abra,749.251795,0,749.251795,0.0,0,1.0,31957.98000000001,22302.6775,87255.89628370095,7975.243845214279,95231.14012891523,53.58302917610894,2.696361623791373,0.0063827362153755255,27817.540305772553,2542.540694227602,30360.081000000155,27817.540305772553,2542.540694227602,30360.081000000155,0.15325856911797556,3,15573.959716184301,5.63268004315001,171008.62235711867,13693.867824486371,0,0.0,0.011187687716662346,0.01332294322864463,0.0,0.0,0.0,True,73593.58333324888,19529.182572797203,35434.2371109023,752.8266180673054,23461.938479924702,838.3105878462127,21327.13242445111,32605.979702369325,752.8266180673054,15902.358176481306
172418,CAR,EQ,2000,141127221258,helped,a,Benguet,1214.938755,0,1214.938755,0.0,0,1.0,32532.172000000013,22302.6775,88823.63109043564,8118.535793390331,96942.16688382596,54.54576044663006,2.7448074039529486,0.0063827362153755255,28317.340640563805,2588.2227594363526,30905.56340000016,28317.340640563805,2588.2227594363526,30905.56340000016,0.15087677960273713,3,15573.959716184301,5.63268004315001,174081.15018548828,13693.867824486371,0,0.0,0.011088516977934983,0.015503470350049448,0.0,0.0,0.0,True,75114.3684161458,25400.56881324311,41763.06997234766,889.1972180673065,23946.77104874452,853.3725921736637,21827.026997598376,33160.04100612,889.1972180673065,16359.7563517006
172466,CAR,EQ,2000,141131225261,helped,a,Benguet,474.08673650000003,0,474.08673650000003,0.0,0,0.0,33663.445,22302.6775,91475.82859765961,8360.948315026782,99836.77691268639,56.44253346435971,3.096570451515915,0.0063827362153755255,29162.872165633406,2665.504873063619,31828.377038697025,29162.872165633406,2665.504873063619,31828.377038697025,0.14878119150699678,3,15573.959716184301,5.63268004315001,179279.06415172276,13693.867824486371,0,0.0,0.01090060786148111,0.01895628239488683,0.0,0.0,0.0,True,77537.54991433791,25930.861254577812,43215.59432105354,1119.9006277415228,24719.291323764064,878.8535664809611,22625.02824692522,34161.15730971365,1119.9006277415228,17281.63649602421
172511,CAR,EQ,2000,141172014125,helped,a,Abra,759.7184294999997,0,759.7184294999997,0.0,1,1.0,32021.770000000004,22302.6775,87430.06416364633,7991.162899074572,95421.22706272089,53.689984040939066,2.701743719530269,0.0063827362153755255,27873.065745619035,2547.615754381115,30420.68150000015,27873.065745619035,2547.615754381115,30420.68150000015,0.15298974602729645,3,15573.959716184301,5.63268004315001,171349.96558407356,13693.867824486371,0,0.0,0.011176538764362863,0.01356841695641986,0.0,0.0,0.0,True,73762.50944146569,19549.12937990269,35504.96592371538,767.9767430673046,23515.79282128336,839.9839048831062,21382.66008284666,32667.567668632553,767.9767430673046,15953.134800093161
172630,CAR,EQ,2000,143213130498,helped,a,Kalinga,756.3082525,0,756.3082525,0.0,0,1.0,40904.78100000001,22302.6775,111683.63358521098,10207.954411076293,121891.58799628727,68.58387400471953,3.4512219394965067,0.0063827362153755255,35605.203901069435,3254.338048930753,38859.54195000019,35605.203901069435,3254.338048930753,38859.54195000019,0.12374287456364144,3,15573.959716184301,5.63268004315001,218883.3664277167,13693.867824486371,0,0.0,0.009888785571442746,0.04127491956128172,0.0,0.0,0.0,True,97336.89362989135,18320.144613493034,41422.346363681914,2877.6918555673137,31031.403917788655,1072.9999519941682,29131.287226463017,41176.03424532117,2877.6918555673137,23098.750528249384
173236,CAR,EQ,2000,14111211111152,helped,a,Benguet,814.9999744999998,0,814.9999744999998,1061.9489657419617,0,0.0,30669.672000000006,22302.6775,80838.91442055357,7388.727663631288,88227.64208418486,49.642420678115485,2.4980655272147154,0.0063827362153755255,25778.558110809758,2355.5569118580393,28134.115022667796,25778.558110809758,2355.5569118580393,28134.115022667796,0.17702330482112932,3,15573.959716184301,5.63268004315001,158470.4682198678,13693.867824486371,0,0.0,0.011420245236095979,0.003573614019319512,0.0,0.0,0.0,True,66404.57155229653,24361.167343541198,39372.00205751918,196.3351237342158,21172.286662651408,776.6594666382763,18975.82948596988,30730.986197388564,196.3351237342158,15008.336648450768
288647,I - Ilocos,EQ,500,15524110772,helped,a,Pangasinan,3437.7839999999997,0,3437.7839999999997,1933.1389275766016,0,1.0,37244.508,22302.6775,97828.2594147668,7395.598171970388,105223.85758673718,109.15668691457441,5.535450771075823,0.014021699145564125,31215.159252943668,2357.7472583077815,33572.90651125145,31215.159252943668,2357.7472583077815,33572.90651125145,0.2152467492459199,3,15573.959716184301,5.63268004315001,189105.44049646708,16503.263663686426,0,0.0,0.010363319195594288,0.0022942747744789413,0.0,0.0,0.0,True,77018.86806611432,13581.598044797709,34832.26954502649,153.3333651001467,24562.870592214575,777.3816539464437,21757.17926075768,38335.24024258918,153.3333651001467,21245.136049457706
