district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,hh_reco_rate,integ,intermed_sf_num,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,10.0,51207002061,a,helped,22910,76108.85714735143,36346.798828125,0.007249572465620002,61659.127090975235,61659.127090975235,0.0,61659.13,61659.13,0.0,61659.13,0.0,61659.13,187672.0,187672.0,187672.0,0.0,0.055453822045346574,2725908.293886171,0.0,8.014996036119678,2094065.4888028968,0.045,,0.0,11.158113564105976,43493.30859375,0.0,6.252776074688882e-13,6342.4,0.0,8.534493179192536e-06,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,4.7626339018495465e-08,2601519.0964166955,29028045.517007854
Batticaloa,PF,50.0,51210023071,a,helped,24555,68320.87423613133,36346.798828125,0.007651618141638227,54685.205935382546,54685.205935382546,0.0,54685.07,54685.07,0.0,54685.07,0.0,54685.07,166445.0,166445.0,166445.0,0.0,0.055453822045346574,2750881.8954751836,0.0,7.663428735604736,1228480.6205231838,0.035,,2000.000061035156,7.380700054211204,43493.30859375,0.0,-8.526512829121202e-13,5693.41,0.0,9.709310450156416e-06,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,5.59976597722727e-08,2601519.0964166955,19201032.135954186
Batticaloa,PF,250.0,51212045051,a,helped,26173,54125.459947694835,36346.798828125,0.008596649015520088,43113.61818765306,43113.61818765306,0.0,43113.62,43113.62,0.0,43113.62,0.0,43113.62,131225.0,131225.0,131225.0,0.0,0.055453822045346574,3037148.8312730566,0.0,7.530804006243067,5172023.519458967,0.045,,0.0,39.41340079602947,43493.30859375,0.0,-5.684341886080801e-13,4510.45,0.0,1.1521844498565367e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,7.941409665458384e-08,2601519.0964166955,102534714.82559566
Batticaloa,PF,500.0,51210023071,a,helped,26850,68320.87423613133,36346.798828125,0.007651618141638227,55704.39010898296,55704.39010898296,0.0,55704.23,55704.23,0.0,55704.23,0.0,55704.23,169547.0,169547.0,169547.0,0.0,0.055453822045346574,2948458.208483966,0.0,8.213838404982706,1492983.274523055,0.035,,2000.000061035156,8.805719207789314,43493.30859375,0.0,2.2737367544323206e-13,5693.41,0.0,1.241787395316025e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,5.59976597722727e-08,2601519.0964166955,22908246.676747195
Batticaloa,PF,500.0,51212045051,a,helped,26938,54125.459947694835,36346.798828125,0.008596649015520088,41902.9214223911,41902.9214223911,0.0,41902.92,41902.92,0.0,41902.92,0.0,41902.92,127540.0,127540.0,127540.0,0.0,0.055453822045346574,2755235.454870192,0.0,6.831781830389303,5390767.057357504,0.055000000000000014,,0.0,42.26726562143252,43493.30859375,0.0,-4.547473508864641e-13,4510.45,0.0,1.241787395316025e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,7.941409665458384e-08,2601519.0964166955,109959098.66747358
Batticaloa,PF,1000.0,51210023071,a,helped,27615,68320.87423613133,36346.798828125,0.007651618141638227,54788.44067673285,54788.44067673285,0.0,54788.25,54788.25,0.0,54788.25,0.0,54788.25,166759.0,166759.0,166759.0,0.0,0.055453822045346574,2769859.7622558824,0.0,7.716297428319937,1810185.5908254522,0.035,,2000.000061035156,10.855099819652626,43493.30859375,0.0,-1.1368683772161603e-12,5693.41,0.0,1.500465183488603e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,5.59976597722727e-08,2601519.0964166955,28239749.474335734
Batticaloa,PF,1000.0,51212045051,a,helped,27703,54125.459947694835,36346.798828125,0.008596649015520088,44692.945012785836,44692.945012785836,0.0,44692.95,44692.95,0.0,44692.95,0.0,44692.95,136032.0,136032.0,136032.0,0.0,0.055453822045346574,3483991.128972075,0.0,8.638777949113727,7087845.2184700025,0.035,,0.0,52.104249136012136,43493.30859375,0.0,5.684341886080802e-14,4510.45,0.0,1.500465183488603e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,7.941409665458384e-08,2601519.0964166955,135550199.13178867
Colombo,PF,10.0,11210093091,a,helped,32037,31215.47926138201,36346.798828125,0.011319962602154567,22702.6177692271,22702.6177692271,0.0,22702.62,22702.62,0.0,22702.62,0.0,22702.62,69100.0,69100.0,69100.0,0.0,0.055453822045346574,3003863.8674741606,0.0,5.656394887763348,2308618.6409965917,0.065,,0.0,33.4098211432213,43493.30859375,0.0,-3.588240815588506e-13,2601.29,0.0,3.4930928643583986e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.813196989123113e-07,2601519.0964166955,86916287.71195649
Colombo,PF,50.0,11210093091,a,helped,36703,31215.47926138201,36346.798828125,0.011319962602154567,25458.800988706786,25458.800988706786,0.0,25458.8,25458.8,0.0,25458.8,0.0,25458.8,77489.0,77489.0,77489.0,0.0,0.055453822045346574,4367202.072112706,0.0,8.223614838877282,3482746.038902857,0.035,,0.0,44.945037862185046,43493.30859375,0.0,5.684341886080802e-14,2601.29,0.0,4.3687102158750416e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.813196989123113e-07,2601519.0964166955,116925374.2876458
Gampaha,PF,5.0,12101137041,a,helped,58589,35444.649164676404,36346.798828125,0.01062318279827093,29536.072863035417,29536.072863035417,0.0,29536.07,29536.07,0.0,29536.07,0.0,29536.07,89899.0,89899.0,89899.0,0.0,0.055453822045346574,4471964.644704936,0.0,8.973217051301578,602223.027695469,0.035,,0.0,6.698884611569306,43493.30859375,0.0,-4.263256414560601e-13,2953.72,0.0,5.49029379574855e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.498559450950615e-07,2601519.0964166955,17427276.24168949
