district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,help_received,hh_reco_rate,integ,ispoor,k,level_0,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_pov_bool,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Colombo,PF,5.0,11210093091,a,helped,29704,31215.479261382017,36346.798828125,0.011319962602154565,25609.50461457399,25609.50461457399,0.0,25609.50461457399,0.0,25609.50461457399,25609.50461457399,25609.50461457399,0.0,25609.50461457399,0.0,25609.50461457399,77947.69690681834,77947.69690681834,77947.69690681834,0.0,0.05545382204534587,3462082.227082992,0.0,0.0,6.51923824589108,1.0,95010.61238344283,29704.0,0.0,0.0,31.576627497138567,43493.30859375,0.0,1.4210854715202004e-14,2601.2899384485013,0.0,3.42239593564745e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8131969891231124e-07,2601519.0964167616,82147199.43424459
Gampaha,PF,5.0,12101137041,a,helped,58589,35444.64916467641,36346.798828125,0.010623182798270929,29653.56315148183,29653.56315148183,0.0,29653.56315148183,0.0,29653.56315148183,29653.56315148183,29653.56315148183,0.0,29653.56315148183,0.0,29653.56315148183,90256.60540983302,90256.60540983302,90256.60540983302,0.0,0.05545382204534587,3523612.1692632968,0.0,0.0,7.070301156527178,1.0,107882.94469719748,58589.0,0.0,0.0,6.698884611569306,43493.30859375,0.0,-1.4210854715202004e-14,2953.7207637230345,0.0,5.288027727810707e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,17427276.24168993
Gampaha,PF,50.0,12101137041,a,helped,65054,35444.64916467641,36346.798828125,0.010623182798270929,27444.72902001348,27444.72902001348,0.0,27444.72902001348,0.0,27444.72902001348,27444.72902001348,27444.72902001348,0.0,27444.72902001348,0.0,27444.72902001348,83533.5728487444,83533.5728487444,83533.5728487444,0.0,0.05545382204534587,2637964.8924217853,0.0,0.0,5.2932063274339765,1.0,107882.94469719748,65054.0,0.0,0.0,11.06075170732095,43493.30859375,0.0,0.0,2953.7207637230345,0.0,8.89281291636073e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,28774756.78731975
Gampaha,PF,250.0,12101137041,a,helped,69364,35444.64916467641,36346.798828125,0.010623182798270929,28578.448149023214,28578.448149023214,0.0,28578.448149023214,0.0,28578.448149023214,28578.448149023214,28578.448149023214,0.0,28578.448149023214,0.0,28578.448149023214,86984.27587387133,86984.27587387133,86984.27587387133,0.0,0.05545382204534587,3038589.023105991,0.0,0.0,6.097078353764686,1.0,107882.94469719748,69364.0,0.0,0.0,12.691856364642073,43493.30859375,0.0,0.0,2953.7207637230345,0.0,1.0360925675275087e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,33018106.70159497
Hambantota,PF,10.0,33211033041,a,helped,77323,31027.432105400658,36346.798828125,0.011354214086190353,24532.017175806384,24532.017175806384,0.0,24532.017175806384,0.0,24532.017175806384,24532.017175806384,24532.017175806384,0.0,24532.017175806384,0.0,24532.017175806384,74668.14638204305,74668.14638204305,74668.14638204305,0.0,0.05545382204534587,3026140.8404730703,0.0,0.0,5.681153508083888,1.0,94438.25290444367,77323.0,0.0,0.0,42.37477817039697,43493.30859375,0.0,0.0,2585.6193421167213,0.0,3.8187774533655625e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8297057338841185e-07,2601519.0964167616,110238794.61671184
Hambantota,PF,50.0,33207001101,a,helped,78882,29040.668946569254,36346.798828125,0.011736177997618958,22384.879513669806,22384.879513669806,0.0,22384.879513669806,0.0,22384.879513669806,22384.879513669806,22384.879513669806,0.0,22384.879513669806,0.0,22384.879513669806,68132.8994796023,68132.8994796023,68132.8994796023,0.0,0.05545382204534587,2871810.6326871947,0.0,0.0,5.215951898799531,1.0,88391.13817649643,78882.0,0.0,0.0,40.3047089209735,43493.30859375,0.0,0.0,2420.0557455474377,0.0,4.312550036849365e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266515e-07,2601519.0964167616,104853469.93343158
Hambantota,PF,100.0,33207001101,a,helped,79765,29040.668946569254,36346.798828125,0.011736177997618958,22672.571662409515,22672.571662409515,0.0,22672.571662409515,0.0,22672.571662409515,22672.571662409515,22672.571662409515,0.0,22672.571662409515,0.0,22672.571662409515,69008.54860870232,69008.54860870232,69008.54860870232,0.0,0.05545382204534587,2995307.4654065054,0.0,0.0,5.4402541323055305,1.0,88391.13817649643,79765.0,0.0,0.0,41.276516545339575,43493.30859375,0.0,2.842170943040401e-14,2420.0557455474377,0.0,4.391328389621044e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266515e-07,2601519.0964167616,107381646.02626333
Hambantota,PF,500.0,33211033041,a,helped,81738,31027.432105400658,36346.798828125,0.011354214086190353,24311.22542407928,24311.22542407928,0.0,24311.22542407928,0.0,24311.22542407928,24311.22542407928,24311.22542407928,0.0,24311.22542407928,0.0,24311.22542407928,73996.12211596819,73996.12211596819,73996.12211596819,0.0,0.05545382204534587,2933353.333733048,0.0,0.0,5.506958023732265,1.0,94438.25290444367,81738.0,0.0,0.0,63.441816316904784,43493.30859375,0.0,0.0,2585.6193421167213,0.0,5.293679782346768e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8297057338841185e-07,2601519.0964167616,165045096.6597923
Hambantota,PF,500.0,33211036071,a,helped,81749,38028.39546684645,36346.798828125,0.010255952360698855,29696.446405918305,29696.446405918305,0.0,29696.446405918305,0.0,29696.446405918305,29696.446405918305,29696.446405918305,0.0,29696.446405918305,0.0,29696.446405918305,90387.12925125439,90387.12925125439,90387.12925125439,0.0,0.05545382204534587,2619597.444871228,0.0,0.0,5.444563025659856,1.0,115747.09813072586,81749.0,0.0,0.0,42.29454421126986,43493.30859375,0.0,0.0,3169.0329555705375,0.0,5.293679782346768e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869393e-07,2601519.0964167616,110030064.43986154
Mannar,PF,25.0,42203025061,a,helped,121706,29396.838527545486,36346.798828125,0.011664864066618718,23856.105836695362,23856.105836695362,0.0,23856.105836695362,0.0,23856.105836695362,23856.105836695362,23856.105836695362,0.0,23856.105836695362,0.0,23856.105836695362,72610.8737799434,72610.8737799434,72610.8737799434,0.0,0.05545382204534587,3419103.8122187946,0.0,0.0,6.247943178552051,1.0,89475.21219367068,121706.0,0.0,0.0,39.38145190202325,43493.30859375,0.0,-2.842170943040401e-14,2449.736543962124,0.0,1.2257587794339279e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.984033768748378e-07,2601519.0964167616,102451599.16773169
