region,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,hh_reco_rate,integ,intermed_sf_num,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
ARMM,EQ,1,153811161261,a,helped,634,16590.979000000007,15573.959716184301,0.015527230097793243,13562.884201895979,12171.304164256979,1391.5800376389993,12171.36,12171.36,1391.5800376389993,12171.3,0.06,12171.36,42543.0,38178.0,38178.0,4365.0,0.08400922942424362,1188620.56533414,0.0,5.673359024705204,53519.99960099476,0.035,,0.0,1.4018470798825813,22302.6775,0.0,1.1368683772161603e-13,0.0,0.0,1.283218230119801e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.679419489890632e-07,1133537.7415140255,1589046.5728781328
ARMM,EQ,1,15386330118012,a,helped,1984,17232.623000000007,15573.959716184301,0.015235415477815905,14298.365335191093,12831.54752232121,1466.8178128698823,12831.62,12831.62,1466.8178128698823,12831.55,0.07,12831.62,44850.0,40249.0,40249.0,4601.0,0.08400922942424362,1224449.37696015,0.0,5.956313512122362,21770.650817188038,0.035,,0.0,0.5408963257032776,22302.6775,0.0,2.842170943040401e-14,0.0,0.0,1.283218230119801e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,613126.399430928
ARMM,EQ,10,1538111617256,a,helped,4434,15891.854000000003,15573.959716184301,0.015865096293971825,13042.914662058818,12013.814922883861,1029.0997391749577,12013.86,12013.86,1029.0997391749577,12013.81,0.05,12013.86,40912.0,37684.0,37684.0,3228.0,0.08400922942424362,1311308.0734787863,0.0,6.125662132421041,39872.39486670017,0.035,,0.0,1.0580680815245176,22302.6775,0.0,-4.476419235288631e-13,0.0,0.0,2.140310689489175e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.991581313914607e-07,1133537.7415140255,1199360.1034993795
ARMM,HU,10,157316024194,a,helped,39668,16787.246000000003,15573.959716184301,0.015436195431197852,13825.5788069394,13825.5788069394,0.0,13825.58,13825.58,0.0,13825.58,0.0,13825.58,43367.0,43367.0,43367.0,0.0,0.08400922942424362,1385658.073764935,0.0,6.652836107134942,0.9171106145869999,0.035,,0.0,2.1147660999999997e-05,22302.6775,0.0,-1.8047785488306545e-12,14450.36,0.0,1.240841885845011e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.5975961248193565e-07,1133537.7415140255,23.971671888244234
ARMM,HU,10,15386330118012,a,helped,40684,17232.623000000007,15573.959716184301,0.015235415477815905,13705.708453181722,13705.708453181722,0.0,13705.71,13705.71,0.0,13705.71,0.0,13705.71,42991.0,42991.0,42991.0,0.0,0.08400922942424362,1466127.035753239,0.0,7.131950440633963,0.2513804273773,0.045,,0.0,5.8472803e-06,22302.6775,0.0,-1.4210854715202004e-12,0.0,0.0,1.240841885845011e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,6.628112905261453
ARMM,PF,10,15726013282,a,helped,74561,14867.815000000004,15573.959716184301,0.016402363089731257,12351.42849902583,11811.693102983945,539.7353960418845,11811.71,11811.71,539.7353960418845,11811.69,0.02,11811.71,38743.0,37050.0,37050.0,1693.0,0.08400922942424362,1281007.0332729397,0.0,5.7881011134998,12777.221850461565,0.035,,0.0,0.34486356177475086,22302.6775,0.0,1.1368683772161603e-13,12798.13,0.0,1.3255099391985203e-07,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747314e-07,1133537.7415140255,390915.8629446337
ARMM,PF,10,15386330128005,a,helped,76160,21142.012000000002,15573.959716184301,0.013754881022598532,16785.675175662906,16052.106867161798,733.5683085011082,16052.14,16052.14,733.5683085011082,16052.11,0.03,16052.14,52652.0,50351.0,50351.0,2301.0,0.08400922942424362,1170692.5831260018,0.0,6.307787369969402,6868.913876317519,0.045,,0.0,0.13642031778820302,22302.6775,0.0,4.263256414560601e-13,0.0,0.0,1.3255099391985203e-07,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.252973516096418e-07,1133537.7415140255,154637.5789222653
ARMM,PF,25,15386330128005,a,helped,79385,21142.012000000002,15573.959716184301,0.013754881022598532,16762.402474002505,16123.200188672336,639.2022853301703,16123.23,16123.23,639.2022853301703,16123.2,0.03,16123.23,52579.0,50574.0,50574.0,2005.0,0.08400922942424362,1182970.219010361,0.0,6.373940276104376,46210.2977313685,0.045,,0.0,0.9137148211952645,22302.6775,0.0,2.7711166694643907e-13,0.0,0.0,9.046938727415614e-07,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.252973516096418e-07,1133537.7415140255,1035730.2348055717
ARMM,PF,30,15726013282,a,helped,81011,14867.815000000004,15573.959716184301,0.016402363089731257,11987.991788164785,11504.047115281395,483.9446728833908,11504.07,11504.07,483.9446728833908,11504.05,0.02,11504.07,37603.0,36085.0,36085.0,1518.0,0.08400922942424362,1158669.6998011384,0.0,5.235332207710462,141070.15566356792,0.045,,0.0,3.909377369558172,22302.6775,0.0,-1.8474111129762605e-13,12798.13,0.0,1.5319988132566223e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747314e-07,1133537.7415140255,4431426.794215012
ARMM,PF,30,15386330118012,a,helped,82609,17232.623000000007,15573.959716184301,0.015235415477815905,14300.915768249766,13723.561484592441,577.3542836573259,13723.59,13723.59,577.3542836573259,13723.56,0.03,13723.59,44858.0,43047.0,43047.0,1811.0,0.08400922942424362,1504721.8318297171,0.0,7.319694180549652,33285.345046674025,0.035,,0.0,0.7732311325136215,22302.6775,0.0,-1.0516032489249483e-12,0.0,0.0,1.5319988132566223e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,876486.6716178227
ARMM,PF,100,15386330128005,a,helped,89060,21142.012000000002,15573.959716184301,0.013754881022598532,17376.419232878274,16044.136763853443,1332.282469024829,16044.2,16044.2,1332.282469024829,16044.14,0.06,16044.2,54505.0,50326.0,50326.0,4179.0,0.08400922942424362,1189337.4481492967,0.0,6.408247427378057,476238.3023418616,0.035,,0.0,9.463030664721098,22302.6775,0.0,2.8421709430404007e-13,0.02,0.0,8.893245913332945e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.252973516096418e-07,1133537.7415140255,10726702.40756592
ARMM,PF,500,15386330118012,a,helped,98734,17232.623000000007,15573.959716184301,0.015235415477815905,14349.692800496907,12689.042075167801,1660.6507253291059,12689.12,12689.12,1660.6507253291059,12689.04,0.08,12689.12,45011.0,39802.0,39802.0,5209.0,0.08400922942424362,1209036.471063602,0.0,5.88133768920954,556722.6332244481,0.035,,0.0,13.987218682964983,22302.6775,0.0,3.126388037344441e-13,0.08,0.0,2.4516959229818315e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,15855040.275950909
ARMM,SS,1,15726013282,a,helped,106811,14867.815000000004,15573.959716184301,0.016402363089731257,12190.432412197035,12190.432412197035,0.0,12190.43,12190.43,0.0,12190.43,0.0,12190.43,38238.0,38238.0,38238.0,0.0,0.08400922942424362,1428348.2219039584,0.0,6.453847417640406,1.1304395535,0.035,,0.0,2.956325e-05,22302.6775,0.0,7.02016222930979e-12,12798.13,0.0,1.2604995407215107e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747314e-07,1133537.7415140255,33.511059636814515
ARMM,SS,10,15386330118012,a,helped,111634,17232.623000000007,15573.959716184301,0.015235415477815905,13938.754273918059,13938.754273918059,0.0,13938.75,13938.75,0.0,13938.75,0.0,13938.75,43722.0,43722.0,43722.0,0.0,0.08400922942424362,1562905.4722966591,0.0,7.602727526328385,0.2556547892766,0.045,,0.0,5.8472803e-06,22302.6775,0.0,-2.1600499167107046e-12,0.0,0.0,1.2214390785794298e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,6.628112905261453
ARMM,SS,25,15726013282,a,helped,113261,14867.815000000004,15573.959716184301,0.016402363089731257,12322.09851885108,12322.09851885108,0.0,12322.1,12322.1,0.0,12322.1,0.0,12322.1,38651.0,38651.0,38651.0,0.0,0.08400922942424362,1497936.7322499652,0.0,6.768276084898703,1.14264917575,0.035,,0.0,2.956325e-05,22302.6775,0.0,3.198152853656211e-11,12798.13,0.0,1.2138493664477957e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747314e-07,1133537.7415140255,33.511059636814515
ARMM,SS,25,15386330118012,a,helped,114859,17232.623000000007,15573.959716184301,0.015235415477815905,14246.081457488275,14246.081457488275,0.0,14246.08,14246.08,0.0,14246.08,0.0,14246.08,44686.0,44686.0,44686.0,0.0,0.08400922942424362,1703133.2656359498,0.0,8.284863281352827,0.2612915674858,0.035,,0.0,5.8472803e-06,22302.6775,0.0,3.723243935382925e-12,0.0,0.0,1.2138493664477957e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,6.628112905261453
ARMM,SS,30,157316024194,a,helped,117068,16787.246000000003,15573.959716184301,0.015436195431197852,14000.921079723237,14000.921079723237,0.0,14000.92,14000.92,0.0,14000.92,0.0,14000.92,43917.0,43917.0,43917.0,0.0,0.08400922942424362,1465345.476206873,0.0,7.035432101260008,0.9287418281369999,0.035,,0.0,2.1147660999999997e-05,22302.6775,0.0,-1.779909553079051e-12,14450.36,0.0,1.2380539893357552e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.5975961248193565e-07,1133537.7415140255,23.971671888244234
ARMM,SS,50,157316024194,a,helped,120293,16787.246000000003,15573.959716184301,0.015436195431197852,13664.263915978268,13664.263915978268,0.0,13664.26,13664.26,0.0,13664.26,0.0,13664.26,42861.0,42861.0,42861.0,0.0,0.08400922942424362,1319511.3283986966,0.0,6.33525165807509,0.9064098981209999,0.045,,0.0,2.1147660999999997e-05,22302.6775,0.0,4.175149115326349e-11,14450.36,0.0,1.23606699852368e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.5975961248193565e-07,1133537.7415140255,23.971671888244234
ARMM,SS,100,15386330128005,a,helped,124535,21142.012000000002,15573.959716184301,0.013754881022598532,17370.680758496255,17370.680758496255,0.0,17370.68,17370.68,0.0,17370.68,0.0,17370.68,54487.0,54487.0,54487.0,0.0,0.08400922942424362,1518139.9558326118,0.0,8.17986222623585,0.6372015452070001,0.035,,0.0,1.1694561000000001e-05,22302.6775,0.0,3.097966327914037e-12,0.0,0.0,1.2402627281264442e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.252973516096418e-07,1133537.7415140255,13.256226263938006
ARMM,SS,200,15386330118012,a,helped,127759,17232.623000000007,15573.959716184301,0.015235415477815905,14259.471231046313,14259.471231046313,0.0,14259.47,14259.47,0.0,14259.47,0.0,14259.47,44728.0,44728.0,44728.0,0.0,0.08400922942424362,1708817.606313027,0.0,8.312514661491088,0.2615371532584,0.035,,0.0,5.8472803e-06,22302.6775,0.0,1.7337242752546445e-12,0.0,0.0,1.2328468840084385e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,6.628112905261453
ARMM,SS,250,15726013282,a,helped,129386,14867.815000000004,15573.959716184301,0.016402363089731257,11935.389106329634,11935.389106329634,0.0,11935.39,11935.39,0.0,11935.39,0.0,11935.39,37438.0,37438.0,37438.0,0.0,0.08400922942424362,1308881.1407400088,0.0,5.914047457491168,1.1067889535,0.045,,0.0,2.956325e-05,22302.6775,0.0,2.4805046905385097e-11,12798.13,0.0,1.2443741252134377e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747314e-07,1133537.7415140255,33.511059636814515
ARMM,SS,250,15386330118012,a,helped,130984,17232.623000000007,15573.959716184301,0.015235415477815905,13310.710133219587,13310.710133219587,0.0,13310.71,13310.71,0.0,13310.71,0.0,13310.71,41752.0,41752.0,41752.0,0.0,0.08400922942424362,1323840.2771030348,0.0,6.439798883296132,0.2441356470856,0.055000000000000014,,0.0,5.8472803e-06,22302.6775,0.0,-2.0747847884194925e-12,0.0,0.0,1.2443741252134377e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,6.628112905261453
ARMM,SS,1000,15726013282,a,helped,135836,14867.815000000004,15573.959716184301,0.016402363089731257,12080.763790674053,12080.763790674053,0.0,12080.76,12080.76,0.0,12080.76,0.0,12080.76,37894.0,37894.0,37894.0,0.0,0.08400922942424362,1373225.3924688469,0.0,6.204780470976229,1.1202697955,0.045,,0.0,2.956325e-05,22302.6775,0.0,-8.757439218243235e-12,12798.13,0.0,1.2340242023522277e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747314e-07,1133537.7415140255,33.511059636814515
ARMM,SS,1000,15386330118012,a,helped,137434,17232.623000000007,15573.959716184301,0.015235415477815905,13285.205802632847,13285.205802632847,0.0,13285.21,13285.21,0.0,13285.21,0.0,13285.21,41672.0,41672.0,41672.0,0.0,0.08400922942424362,1315106.3553506585,0.0,6.397312867029253,0.2436678646616,0.05500000000000002,,0.0,5.8472803e-06,22302.6775,0.0,-4.547473508864641e-13,0.0,0.0,1.2340242023522277e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.4205155181007264e-07,1133537.7415140255,6.628112905261453
ARMM,SS,1000,15386330128005,a,helped,137435,21142.012000000002,15573.959716184301,0.013754881022598532,16553.26696319124,16553.26696319124,0.0,16553.27,16553.27,0.0,16553.27,0.0,16553.27,51923.0,51923.0,51923.0,0.0,0.08400922942424362,1267142.6954153723,0.0,6.8274684620854025,0.6072166908030001,0.05500000000000002,,0.0,1.1694561000000001e-05,22302.6775,0.0,6.252776074688882e-13,0.0,0.0,1.2340242023522277e-11,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.252973516096418e-07,1133537.7415140255,13.256226263938006
CAR,EQ,10,141168115242,a,helped,145705,15207.664999999999,15573.959716184301,0.016218053438348163,12092.559575876307,10849.861068037402,1242.6985078389048,10849.92,10849.92,1242.6985078389048,10849.86,0.06,10849.92,37931.0,34033.0,34033.0,3898.0,0.08400922942424362,1136286.989087149,0.0,5.192545649542887,2115.133064422843,0.045,,193.08163151964072,0.062149146662809615,22302.6775,0.0,1.0089706847793423e-12,0.0,0.0,8.980203220955456e-09,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.332197098748612e-07,1133537.7415140255,70448.40334518514
CAR,EQ,2000,141180331,a,helped,171694,14487.576000000008,15573.959716184301,0.01661621611243004,13762.774392869555,12610.297454481242,1152.4769383883122,12610.35,12610.35,1152.4769383883122,12610.3,0.05,12610.35,43170.0,39555.0,39555.0,3615.0,0.08400922942424362,2130081.4351568366,0.0,9.50068877623223,44831196.9501902,0.0050000000000000044,,0.0,1133.384105,22302.6775,0.0,-2.1174173525650986e-12,1.22,0.0,0.0012979376476145077,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.734643294513185e-07,1133537.7415140255,1284733658.6495953
