district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,help_received,hh_reco_rate,integ,ispoor,k,level_0,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_pov_bool,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,50.0,51207002021,a,helped,24436,57487.97290047894,36346.798828125,0.00834144898561982,46066.12600022641,46066.12600022641,0.0,46066.12595403,0.0,46066.12595403,46066.12600022641,46066.12600022641,0.0,46066.12600022641,0.0,46066.12595403,140211.55352975902,140211.55352975902,140211.55352975902,0.0,0.05545382204534587,2781839.3279945487,10907.614610609837,0.0,7.108778964192587,0.0,174976.25021937434,24436.0,0.0,0.0,26.242446243082888,43493.30859375,0.0,0.0,4790.664408373245,0.0,9.831066801739358e-06,True,9.807321772639709,10.019267822736055,-1.0,3.0,7.254951396581881e-08,2601519.0964167616,68270225.03807044
Batticaloa,PF,1000.0,51212045051,a,helped,27703,54125.45994769484,36346.798828125,0.008596649015520087,42380.66113171758,42380.66113171758,0.0,42380.6610830034,0.0,42380.6610830034,42380.66113171758,42380.66113171758,0.0,42380.66113171758,0.0,42380.6610830034,128994.09724332347,128994.09724332347,128994.09724332347,0.0,0.05545382204534587,2630534.152911296,11502.09492571073,0.0,6.522577008186734,0.0,164741.76328050133,27703.0,0.0,0.0,52.104249136012136,43493.30859375,0.0,0.0,4510.454995641237,0.0,1.4782104802549113e-05,True,9.788053949903677,10.019267822736055,-1.0,3.0,7.941409665458382e-08,2601519.0964167616,135550199.13179213
Colombo,PF,5.0,11210093091,a,helped,29704,31215.479261382017,36346.798828125,0.011319962602154565,25609.50461457399,25609.50461457399,0.0,25609.50461457399,0.0,25609.50461457399,25609.50461457399,25609.50461457399,0.0,25609.50461457399,0.0,25609.50461457399,77947.69690681834,77947.69690681834,77947.69690681834,0.0,0.05545382204534587,3897477.9029168757,0.0,0.0,7.3391055846236455,1.0,95010.61238344283,29704.0,0.0,0.0,31.576627497138567,43493.30859375,0.0,-5.684341886080802e-14,2601.2899384485013,0.0,3.42239593564745e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8131969891231124e-07,2601519.0964167616,82147199.43424459
Colombo,PF,100.0,11210093091,a,helped,39036,31215.479261382017,36346.798828125,0.011319962602154565,23486.198246015316,23486.198246015316,0.0,23486.198246015316,0.0,23486.198246015316,23486.198246015316,23486.198246015316,0.0,23486.198246015316,0.0,23486.198246015316,71484.98535703923,71484.98535703923,71484.98535703923,0.0,0.05545382204534587,2841466.324800298,0.0,0.0,5.35059386924423,1.0,95010.61238344283,39036.0,0.0,0.0,49.45280996282867,43493.30859375,0.0,2.842170943040401e-14,2601.2899384485013,0.0,6.207833703758111e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8131969891231124e-07,2601519.0964167616,128652429.48976786
Colombo,PF,1000.0,11210093091,a,helped,46035,31215.479261382017,36346.798828125,0.011319962602154565,23573.55545984429,23573.55545984429,0.0,23573.55545984429,0.0,23573.55545984429,23573.55545984429,23573.55545984429,0.0,23573.55545984429,0.0,23573.55545984429,71750.87467152014,71750.87467152014,71750.87467152014,0.0,0.05545382204534587,2877844.5225446196,0.0,0.0,5.419095459471101,1.0,95010.61238344283,46035.0,0.0,0.0,56.083418998412995,43493.30859375,0.0,0.0,2601.2899384485013,0.0,6.168684018494727e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8131969891231124e-07,2601519.0964167616,145902085.516714
Gampaha,PF,5.0,12101137041,a,helped,58589,35444.64916467641,36346.798828125,0.010623182798270929,29653.56315148183,29653.56315148183,0.0,29653.56315148183,0.0,29653.56315148183,29653.56315148183,29653.56315148183,0.0,29653.56315148183,0.0,29653.56315148183,90256.60540983302,90256.60540983302,90256.60540983302,0.0,0.05545382204534587,4109768.979969954,0.0,0.0,8.246453632329313,1.0,107882.94469719748,58589.0,0.0,0.0,6.698884611569306,43493.30859375,0.0,0.0,2953.7207637230345,0.0,5.288027727810707e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,17427276.24168993
Gampaha,PF,25.0,12101137041,a,helped,62899,35444.64916467641,36346.798828125,0.010623182798270929,27267.13808897463,27267.13808897463,0.0,27267.13808897463,0.0,27267.13808897463,27267.13808897463,27267.13808897463,0.0,27267.13808897463,0.0,27267.13808897463,82993.03900108307,82993.03900108307,82993.03900108307,0.0,0.05545382204534587,2976915.0874658744,0.0,0.0,5.973326567944549,1.0,107882.94469719748,62899.0,0.0,0.0,10.344832071785632,43493.30859375,0.0,0.0,2953.7207637230345,0.0,9.014498249482671e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,26912278.183974892
Gampaha,PF,50.0,12101137041,a,helped,65054,35444.64916467641,36346.798828125,0.010623182798270929,27444.72902001348,27444.72902001348,0.0,27444.72902001348,0.0,27444.72902001348,27444.72902001348,27444.72902001348,0.0,27444.72902001348,0.0,27444.72902001348,83533.5728487444,83533.5728487444,83533.5728487444,0.0,0.05545382204534587,3050852.01161411,0.0,0.0,6.121684643465847,1.0,107882.94469719748,65054.0,0.0,0.0,11.06075170732095,43493.30859375,0.0,0.0,2953.7207637230345,0.0,8.75563559316357e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,28774756.78731975
Gampaha,PF,250.0,12101137041,a,helped,69364,35444.64916467641,36346.798828125,0.010623182798270929,28578.448149023214,28578.448149023214,0.0,28578.448149023214,0.0,28578.448149023214,28578.448149023214,28578.448149023214,0.0,28578.448149023214,0.0,28578.448149023214,86984.27587387133,86984.27587387133,86984.27587387133,0.0,0.05545382204534587,3539099.8942189417,0.0,0.0,7.101378038546451,1.0,107882.94469719748,69364.0,0.0,0.0,12.691856364642073,43493.30859375,0.0,-1.4210854715202004e-14,2953.7207637230345,0.0,1.0244733764098908e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.4985594509506148e-07,2601519.0964167616,33018106.70159497
Hambantota,PF,10.0,33211033041,a,helped,77323,31027.432105400658,36346.798828125,0.011354214086190353,24532.017175806384,24532.017175806384,0.0,24532.017175806384,0.0,24532.017175806384,24532.017175806384,24532.017175806384,0.0,24532.017175806384,0.0,24532.017175806384,74668.14638204305,74668.14638204305,74668.14638204305,0.0,0.05545382204534587,3516419.6778287827,0.0,0.0,6.601583019998895,1.0,94438.25290444367,77323.0,0.0,0.0,42.37477817039697,43493.30859375,0.0,3.552713678800501e-14,2585.6193421167213,0.0,3.6976840968717177e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8297057338841185e-07,2601519.0964167616,110238794.61671184
Hambantota,PF,50.0,33207001101,a,helped,78882,29040.668946569254,36346.798828125,0.011736177997618958,22384.879513669806,22384.879513669806,0.0,22384.879513669806,0.0,22384.879513669806,22384.879513669806,22384.879513669806,0.0,22384.879513669806,0.0,22384.879513669806,68132.8994796023,68132.8994796023,68132.8994796023,0.0,0.05545382204534587,3290107.0624723514,0.0,0.0,5.975686552737141,1.0,88391.13817649643,78882.0,0.0,0.0,40.3047089209735,43493.30859375,0.0,0.0,2420.0557455474377,0.0,4.130951690119896e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266515e-07,2601519.0964167616,104853469.93343158
Hambantota,PF,100.0,33207001101,a,helped,79765,29040.668946569254,36346.798828125,0.011736177997618958,22672.571662409515,22672.571662409515,0.0,22672.571662409515,0.0,22672.571662409515,22672.571662409515,22672.571662409515,0.0,22672.571662409515,0.0,22672.571662409515,69008.54860870232,69008.54860870232,69008.54860870232,0.0,0.05545382204534587,3459267.057976575,0.0,0.0,6.282924916474782,1.0,88391.13817649643,79765.0,0.0,0.0,41.276516545339575,43493.30859375,0.0,-2.1316282072803006e-14,2420.0557455474377,0.0,4.3122886378144615e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266515e-07,2601519.0964167616,107381646.02626333
Hambantota,PF,500.0,33211033041,a,helped,81738,31027.432105400658,36346.798828125,0.011354214086190353,24311.22542407928,24311.22542407928,0.0,24311.22542407928,0.0,24311.22542407928,24311.22542407928,24311.22542407928,0.0,24311.22542407928,0.0,24311.22542407928,73996.12211596819,73996.12211596819,73996.12211596819,0.0,0.05545382204534587,3392883.881388732,0.0,0.0,6.369661949461538,1.0,94438.25290444367,81738.0,0.0,0.0,63.441816316904784,43493.30859375,0.0,2.842170943040401e-14,2585.6193421167213,0.0,5.293679782346768e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.8297057338841185e-07,2601519.0964167616,165045096.6597923
Hambantota,PF,500.0,33211036071,a,helped,81749,38028.39546684645,36346.798828125,0.010255952360698855,29696.446405918305,29696.446405918305,0.0,29696.446405918305,0.0,29696.446405918305,29696.446405918305,29696.446405918305,0.0,29696.446405918305,0.0,29696.446405918305,90387.12925125439,90387.12925125439,90387.12925125439,0.0,0.05545382204534587,3092132.8735602982,0.0,0.0,6.426679162775461,1.0,115747.09813072586,81749.0,0.0,0.0,42.29454421126986,43493.30859375,0.0,-2.842170943040401e-14,3169.0329555705375,0.0,5.293679782346768e-06,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869393e-07,2601519.0964167616,110030064.43986154
Mannar,PF,5.0,42210012101,a,helped,121196,48017.55578284819,36346.798828125,0.009127040357480081,37974.158494083764,37974.158494083764,0.0,37974.158442577806,0.0,37974.158442577806,37974.158494083764,37974.158494083764,0.0,37974.158494083764,0.0,37974.158442577806,115582.01695568259,115582.01695568259,115582.01695568259,0.0,0.05545382204534587,2856417.5082794176,12161.2730959216,0.0,6.671080506665521,0.0,146151.12399470972,121196.0,0.0,0.0,48.49103216164305,43493.30859375,0.0,2.842170943040401e-14,4001.462981904016,0.0,8.395698699536045e-06,True,9.768786127167646,10.019267822736055,-1.0,3.0,9.503857712745396e-08,2601519.0964167616,126150346.17347375
Mannar,PF,10.0,42203025061,a,helped,121389,29396.838527545486,36346.798828125,0.011664864066618718,21657.318361403984,21657.318361403984,0.0,21657.318361403984,0.0,21657.318361403984,21657.318361403984,21657.318361403984,0.0,21657.318361403984,0.0,21657.318361403984,65918.42024497791,65918.42024497791,65918.42024497791,0.0,0.05545382204534587,2924976.6384373745,0.0,0.0,5.344993553643948,1.0,89475.21219367068,121389.0,0.0,0.0,36.87407436735825,43493.30859375,0.0,0.0,2449.736543962124,0.0,1.0467870696452439e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.984033768748378e-07,2601519.0964167616,95928608.6293743
Mannar,PF,25.0,42203025061,a,helped,121706,29396.838527545486,36346.798828125,0.011664864066618718,23856.105836695362,23856.105836695362,0.0,23856.105836695362,0.0,23856.105836695362,23856.105836695362,23856.105836695362,0.0,23856.105836695362,0.0,23856.105836695362,72610.8737799434,72610.8737799434,72610.8737799434,0.0,0.05545382204534587,4047134.0913056443,0.0,0.0,7.395582359357869,1.0,89475.21219367068,121706.0,0.0,0.0,39.38145190202325,43493.30859375,0.0,0.0,2449.736543962124,0.0,1.2250562124338603e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.984033768748378e-07,2601519.0964167616,102451599.16773169
Mannar,PF,50.0,42203025061,a,helped,122023,29396.838527545486,36346.798828125,0.011664864066618718,23734.769745255962,23734.769745255962,0.0,23734.76969617037,0.0,23734.76969617037,23734.769745255962,23734.769745255962,0.0,23734.769745255962,0.0,23734.76969617037,72241.56289237573,72241.56289237573,72241.56289237573,0.0,0.05545382204534587,3801898.028635518,11589.79060193327,0.0,6.947447096714159,1.0,89475.21219367068,122023.0,0.0,0.0,40.47517444681778,43493.30859375,0.0,-1.4210854715202004e-14,2449.736543962124,0.0,1.1125376997429581e-05,False,10.019267822736055,10.019267822736055,-1.0,3.0,1.984033768748378e-07,2601519.0964167616,105296939.2541962
Mannar,PF,50.0,42210012031,a,helped,122142,66749.4191113997,36346.798828125,0.007741163680783697,52712.88656950972,52712.88656950972,0.0,52712.80881587311,0.0,52712.80881587311,52712.88656950972,52712.88656950972,0.0,52712.80881587311,0.0,52712.80881587311,160441.9953866507,160441.9953866507,160441.9953866507,0.0,0.05545382204534587,2644558.2966050203,0.0,0.0,7.282011507622152,0.0,196063.38662403176,122142.0,0.0,2333.333312988281,27.320777631637597,43493.30859375,0.0,5.684341886080802e-14,5562.451592616641,0.0,1.1125376997429581e-05,True,9.884393063583834,10.019267822736055,-1.0,3.0,5.798674942671999e-08,2601519.0964167616,71075524.73766111
