,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
NCR,EQ,1,83304.77441565192,129722.78009492434,180967.13210294937,260829.680708048,581064.7892494723,4.181097973375367,6.142401474844349,8.34471916161079,11.46096316011416,24.323199802282794,3.782455016903083,8.120611586565891,12.009021546213797,17.448358367467627,39.58773312813874,16.707239480711262,3.0556575452255617,2.2637088211252094,0.9884431774036857,0.46018258581150867,0,0,0,0,0,0,0,0,0,0
NCR,PF,1,83304.77441565193,129722.78009492434,180967.13210294934,260829.68070804793,581064.7892494722,157.85311457480162,220.58156438492145,313.32823835308113,421.4736528594242,925.3641654942646,173.90949902381612,375.65916637119363,549.6790245020504,797.2157915198856,1814.2253048802183,521.1673040083746,69.01988148467109,62.03868546526886,29.82412290130984,13.831009895946409,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,1,66066.54472754382,106424.90875842916,149013.6154603578,215606.92754282407,465754.1500123145,9.54610302311127,12.622291375954088,17.025319330265408,23.026365073291085,49.763664555282354,5.730974788573461,14.714815240960267,24.671230823965807,36.371819813022015,80.57721534845982,83.83803472712702,13.426521791761253,8.860366888874067,4.9714992951774954,3.3650163463919873,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,1,66066.5447275438,106424.90875842918,149013.6154603578,215606.927542824,465754.15001231467,57.00484611778563,73.85580782037863,99.37899987126615,137.18748957465712,296.77583386705373,40.81772689701258,107.49621603628769,178.5108668102051,261.9362212143438,580.4107403570791,458.70761887683864,59.30332873680534,33.14182566173027,19.255499423764334,12.997310041976155,0,0,0,0,0,0,0,0,0,0
NCR,EQ,10,83304.77441565192,129722.78009492434,180967.13210294934,260829.680708048,581064.7892494722,5.3250864906967825,7.453748305614337,10.476990610801069,14.363365136072716,30.44649960339323,4.688519569899424,10.040291554153628,14.872630400488143,21.60577687132584,49.014926067447874,22.23946933227636,3.820421235207119,3.508677923676578,1.4126097051011541,0.6604943934690585,0,0,0,0,0,0,0,0,0,0
NCR,PF,10,83304.77441565192,129722.78009492432,180967.13210294937,260829.680708048,581064.7892494724,908.7174434381469,1289.8236354198634,1751.766599317601,2412.890425709632,5189.8781199699115,992.2566315417511,2144.091638622555,3131.556316300995,4549.52048549139,10339.249725408336,3092.0935640496987,423.0741628852048,320.2418722394033,142.11106217210843,76.40354045322,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,10,66066.54472754383,106424.90875842918,149013.61546035777,215606.9275428241,465754.15001231444,12.650349475929348,16.8794142568249,22.318501809513247,30.553106024126514,64.79889578305273,7.6476123546398345,19.59460066365868,32.82624994144014,48.417673696022334,107.11599380533403,111.40949177960778,18.804392957003145,10.65228096818376,6.411505188068293,4.033378237892658,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,10,66066.5447275438,106424.9087584292,149013.61546035777,215606.92754282407,465754.1500123145,308.62652493539326,388.98631456047826,517.9307579942981,726.5739338964939,1532.946598286141,217.66042388369107,572.138192140778,949.316992329118,1393.6612941761234,3083.3628127256297,2490.367394336137,286.0887267976183,169.94460001989827,98.88665060035837,66.63199015846428,0,0,0,0,0,0,0,0,0,0
NCR,EQ,25,83304.77441565189,129722.78009492437,180967.13210294934,260829.68070804793,581064.7892494723,184.03034187659912,267.0311664242201,365.37028484018657,495.6513639770382,1082.5146669009846,165.72818495417167,355.83193681190045,526.3776326782612,763.9737169354819,1737.1785359346584,743.3563333850879,145.68042033283064,118.01508731047241,43.827282631269654,21.790615674197735,0,0,0,0,0,0,0,0,0,0
NCR,PF,25,83304.77441565189,129722.78009492432,180967.13210294937,260829.6807080479,581064.7892494722,1338.058353666174,1907.169434088568,2669.1765784389067,3584.225815393448,7570.33987799669,1471.4316743926024,3179.16872617334,4652.009899092707,6747.568084453552,15317.872135656216,4440.862370613078,647.4544563591209,564.8022766870934,239.84396166187406,116.70460003227232,0,0,0,0,0,0,0,0,0,0
