,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
361,Ampara,PF,5.0,52203064051,helped,a,43493.30859375,1.0,1,8.2385179077582,8.2385179077582,0.0,35252.204564023574,12416.646349216653,0.0,12416.646349216653,0.0,0.0,2.165880171765123e-05,4079.4555143550633,0.0,4079.4555143550633,4079.4555143550633,0.0,4079.4555143550633,0.0,3,36346.798828125,5.632680043150034,22978.267662626124,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,12416.646349216653,17693.475386719547,2937.6837136686313,-547.2971320507131,4079.4555143550633,0.0,4079.4555143550633,4079.4555143550633,-547.2971320507131,89.14744983440802
394,Ampara,PF,5.0,52204070101,helped,a,43493.30859375,1.0,1,7.414669659697496,7.414669659697496,0.0,31728.48029349312,21628.678380639234,0.0,21628.678380639234,0.0,0.0,2.165880171765123e-05,7106.0436777018585,0.0,7106.0436777018585,7106.0436777018585,0.0,7106.0436777018585,0.0,3,36346.798828125,5.632680043150034,40026.07040914374,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,21628.678380639234,17307.568685974722,2644.04002445776,-2309.1592673159394,7106.0436777018585,0.0,7106.0436777018585,7106.0436777018585,-2309.1592673159394,181.4104613683583
426,Ampara,PF,5.0,52204076091,helped,a,43493.30859375,1.0,0,14.829352855739316,14.829352855739316,0.0,32978.87215270377,13914.703681604926,0.0,13914.703681604926,0.0,0.0,2.165880171765123e-05,4571.63819183117,0.0,4571.63819183117,4571.63819183117,0.0,4571.63819183117,0.0,3,36346.798828125,5.632680043150034,25750.57520762994,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,13914.703681604926,17472.646647565514,2748.2393460586477,-1683.9633377106147,4571.63819183117,0.0,4571.63819183117,4571.63819183117,-1683.9633377106147,120.53182137845441
427,Ampara,PF,5.0,52204076101,helped,a,43493.30859375,1.0,1,26.692835140330768,26.692835140330768,0.0,36328.89296419594,14850.434507635644,0.0,14850.434507635644,0.0,0.0,2.165880171765123e-05,4879.0700193023495,0.0,4879.0700193023495,4879.0700193023495,0.0,4879.0700193023495,0.0,3,36346.798828125,5.632680043150034,27482.240326855997,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,14850.434507635644,17778.165310146993,3027.4077470163284,-8.952931964529853,4879.0700193023495,0.0,4879.0700193023495,4879.0700193023495,-8.952931964529853,94.18155975466048
533,Ampara,PF,5.0,52207002051,helped,a,43493.30859375,1.0,0,4.943110744654919,4.943110744654919,0.0,34901.34062748441,47765.11677273104,0.0,47765.11677273104,0.0,0.0,2.165880171765123e-05,15693.099693108703,0.0,15693.099693108703,15693.099693108703,0.0,15693.099693108703,0.0,3,36346.798828125,5.632680043150034,88394.20945653733,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,47765.11677273104,17437.086895918867,2908.4450522903676,-722.7291003202954,15693.099693108703,0.0,15693.099693108703,15693.099693108703,-722.7291003202954,316.29727925682073
647,Ampara,PF,5.0,52209024031,helped,a,43493.30859375,1.0,0,4.943110744654919,4.943110744654919,0.0,29338.353392317844,9695.30261311426,0.0,9695.30261311426,0.0,0.0,2.165880171765123e-05,3185.3654035097215,0.0,3185.3654035097215,3185.3654035097215,0.0,3185.3654035097215,0.0,3,36346.798828125,5.632680043150034,17942.144138489766,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,9695.30261311426,17160.908107478026,2444.862782693154,-3504.222717903578,3185.3654035097215,0.0,3185.3654035097215,3185.3654035097215,-3504.222717903578,128.89379810044892
1189,Ampara,PF,10.0,52203064051,helped,a,43493.30859375,1.0,1,10.016488652808581,10.016488652808581,0.0,35252.204564023574,8398.853785207553,0.0,8398.853785207553,0.0,0.0,2.638663605220985e-05,2759.4206539101788,0.0,2759.4206539101788,2759.4206539101788,0.0,2759.4206539101788,0.0,3,36346.798828125,5.632680043150034,15542.933647935883,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,8398.853785207553,17370.986570268393,2937.6837136686313,-547.2971320507131,2759.4206539101788,0.0,2759.4206539101788,2759.4206539101788,-547.2971320507131,63.71325213797479
1222,Ampara,PF,10.0,52204070101,helped,a,43493.30859375,1.0,1,9.014844094803152,9.014844094803152,0.0,31728.48029349312,22324.505906626007,0.0,22324.505906626007,0.0,0.0,2.638663605220985e-05,7334.6559259766,0.0,7334.6559259766,7334.6559259766,0.0,7334.6559259766,0.0,3,36346.798828125,5.632680043150034,41313.77005762053,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,22324.505906626007,16955.2408115521,2644.04002445776,-2309.1592673159394,7334.6559259766,0.0,7334.6559259766,7334.6559259766,-2309.1592673159394,185.81532164340152
1254,Ampara,PF,10.0,52204076091,helped,a,43493.30859375,1.0,0,18.02970464725571,18.02970464725571,0.0,32978.87215270377,14180.734546507947,0.0,14180.734546507947,0.0,0.0,2.638663605220985e-05,4659.041911667786,0.0,4659.041911667786,4659.041911667786,0.0,4659.041911667786,0.0,3,36346.798828125,5.632680043150034,26242.892396050724,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,14180.734546507947,17123.03955403765,2748.2393460586477,-1683.9633377106147,4659.041911667786,0.0,4659.041911667786,4659.041911667786,-1683.9633377106147,122.21590075873603
1255,Ampara,PF,10.0,52204076101,helped,a,43493.30859375,1.0,1,32.453468365060274,32.453468365060274,0.0,36328.89296419594,16887.087335494463,0.0,16887.087335494463,0.0,0.0,2.638663605220985e-05,5548.206787457115,0.0,5548.206787457115,5548.206787457115,0.0,5548.206787457115,0.0,3,36346.798828125,5.632680043150034,31251.273646979254,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,16887.087335494463,17417.34948736444,3027.4077470163284,-8.952931964529853,5548.206787457115,0.0,5548.206787457115,5548.206787457115,-8.952931964529853,107.07436838962705
