district,hazard,rp,contributer,tot_k_recipient_BE,tot_k_recipient_PE,dk_public_recipient,int_cost_BE,ext_cost_BE,frac_k_BE,tot_k_contributer,prov_assets_PE,frac_k_PE,transfer_pub_BE,transfer_pub_PE,PE_to_BE,dw
Ampara,PF,5.0,Ampara,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.02571930854270453,182023165047.55347,181869879292.09717,0.02569820633334236,0.0,0.0,,
Ampara,PF,5.0,Anuradhapura,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.03604859459207457,255126582126.828,255126582126.828,0.036049375378347945,0.0,0.0,,
Ampara,PF,5.0,Badulla,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.033966102875584415,240388171380.23062,240388171380.23062,0.0339668385566057,0.0,0.0,,
Ampara,PF,5.0,Batticaloa,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.019070390029360812,134966799207.36867,134966799207.36867,0.01907080308010333,0.0,0.0,,
Ampara,PF,5.0,Colombo,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.1704357265544405,1206224122748.3765,1206224122748.3765,0.17043941806800117,0.0,0.0,,
Ampara,PF,5.0,Galle,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.04951915882744547,350461755427.7487,350461755427.7487,0.049520231376317864,0.0,0.0,,
Ampara,PF,5.0,Gampaha,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.16014954047478178,1133425736921.6853,1133425736921.6853,0.1601530091970526,0.0,0.0,,
Ampara,PF,5.0,Hambantota,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.030935476068652806,218939527745.0528,218939527745.0528,0.03093614610850728,0.0,0.0,,
Ampara,PF,5.0,Kalutara,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.0778096449668751,550681905953.2819,550681905953.2819,0.07781133026704878,0.0,0.0,,
Ampara,PF,5.0,Kandy,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.06889994902738304,487625348588.0289,487625348588.0289,0.0689014413500393,0.0,0.0,,
Ampara,PF,5.0,Kegalle,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.038830069006684745,274811900478.42673,274811900478.42673,0.038830910037665756,0.0,0.0,,
Ampara,PF,5.0,Kurunegala,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.08088458042664395,572444135049.5549,572444135049.5549,0.08088633232767749,0.0,0.0,,
Ampara,PF,5.0,Mannar,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.0031221464219857026,22096355060.561516,22096355060.561516,0.0031222140454006324,0.0,0.0,,
Ampara,PF,5.0,Matale,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.024550212328675398,173749124834.95,173749124834.95,0.0245507440683732,0.0,0.0,,
Ampara,PF,5.0,Moneragala,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.014967757049384706,105931250339.33514,105931250339.33514,0.014968081240088377,0.0,0.0,,
Ampara,PF,5.0,Mullaitivu,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.0025469169229401178,18025285503.184315,18025285503.184315,0.0025469720873035387,0.0,0.0,,
Ampara,PF,5.0,Nuwara Eliya,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.02740867798896452,193979333038.3184,193979333038.3184,0.02740927164094429,0.0,0.0,,
Ampara,PF,5.0,Polonnaruwa,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.02514564787597101,177963198581.1634,177963198581.1634,0.02514619251236861,0.0,0.0,,
Ampara,PF,5.0,Puttalam,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.041341882878121836,292588751288.0115,292588751288.0115,0.04134277831315982,0.0,0.0,,
Ampara,PF,5.0,Rathnapura,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.04425519147554543,313207099202.8782,313207099202.8782,0.044256150010723305,0.0,0.0,,
Ampara,PF,5.0,Trincomalee,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.015085507684840275,106764606466.16864,106764606466.16864,0.015085834425936853,0.0,0.0,,
Ampara,PF,5.0,Vavuniya,182023165047.55368,181869879292.09717,0.0,0.0,0.0,0.00930751798093915,65872061794.13898,65872061794.13898,0.00930771957499187,0.0,0.0,,
Ampara,PF,10.0,Ampara,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.02571930854270453,182023165047.55347,181836419008.0476,0.025693599874321082,0.0,0.0,,
Ampara,PF,10.0,Anuradhapura,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.03604859459207457,255126582126.828,255126582126.828,0.03604954581831994,0.0,0.0,,
Ampara,PF,10.0,Badulla,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.033966102875584415,240388171380.23062,240388171380.23062,0.0339669991504288,0.0,0.0,,
Ampara,PF,10.0,Batticaloa,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.019070390029360812,134966799207.36867,134966799207.36867,0.0190708932460801,0.0,0.0,,
Ampara,PF,10.0,Colombo,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.1704357265544405,1206224122748.3765,1206224122748.3765,0.17044022389859703,0.0,0.0,,
Ampara,PF,10.0,Galle,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.04951915882744547,350461755427.7487,350461755427.7487,0.04952046550594592,0.0,0.0,,
Ampara,PF,10.0,Gampaha,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.16014954047478178,1133425736921.6853,1133425736921.6853,0.16015376639392814,0.0,0.0,,
Ampara,PF,10.0,Hambantota,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.030935476068652806,218939527745.0528,218939527745.0528,0.03093629237334047,0.0,0.0,,
Ampara,PF,10.0,Kalutara,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.0778096449668751,550681905953.2819,550681905953.2819,0.07781169815583498,0.0,0.0,,
Ampara,PF,10.0,Kandy,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.06889994902738304,487625348588.0289,487625348588.0289,0.0689017671132352,0.0,0.0,,
Ampara,PF,10.0,Kegalle,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.038830069006684745,274811900478.42673,274811900478.42673,0.03883109362861983,0.0,0.0,,
Ampara,PF,10.0,Kurunegala,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.08088458042664395,572444135049.5549,572444135049.5549,0.08088671475494763,0.0,0.0,,
Ampara,PF,10.0,Mannar,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.0031221464219857026,22096355060.561516,22096355060.561516,0.003122228807100908,0.0,0.0,,
Ampara,PF,10.0,Matale,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.024550212328675398,173749124834.95,173749124834.95,0.024550860143286772,0.0,0.0,,
Ampara,PF,10.0,Moneragala,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.014967757049384706,105931250339.33514,105931250339.33514,0.014968152008564129,0.0,0.0,,
Ampara,PF,10.0,Mullaitivu,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.0025469169229401178,18025285503.184315,18025285503.184315,0.0025469841292833696,0.0,0.0,,
Ampara,PF,10.0,Nuwara Eliya,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.02740867798896452,193979333038.3184,193979333038.3184,0.027409401230859283,0.0,0.0,,
Ampara,PF,10.0,Polonnaruwa,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.02514564787597101,177963198581.1634,177963198581.1634,0.025146311402538066,0.0,0.0,,
Ampara,PF,10.0,Puttalam,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.041341882878121836,292588751288.0115,292588751288.0115,0.04134297378012433,0.0,0.0,,
Ampara,PF,10.0,Rathnapura,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.04425519147554543,313207099202.8782,313207099202.8782,0.044256359251990014,0.0,0.0,,
Ampara,PF,10.0,Trincomalee,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.015085507684840275,106764606466.16864,106764606466.16864,0.015085905751144851,0.0,0.0,,
Ampara,PF,10.0,Vavuniya,182023165047.55386,181836419008.0476,0.0,0.0,0.0,0.00930751798093915,65872061794.13898,65872061794.13898,0.009307763581509238,0.0,0.0,,
Ampara,PF,25.0,Ampara,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.02571930854270453,182023165047.55347,181806206854.11667,0.025689440546177233,0.0,0.0,,
Ampara,PF,25.0,Anuradhapura,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.03604859459207457,255126582126.828,255126582126.828,0.03604969971435354,0.0,0.0,,
Ampara,PF,25.0,Badulla,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.033966102875584415,240388171380.23062,240388171380.23062,0.03396714415604049,0.0,0.0,,
Ampara,PF,25.0,Batticaloa,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.019070390029360812,134966799207.36867,134966799207.36867,0.01907097465999978,0.0,0.0,,
Ampara,PF,25.0,Colombo,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.1704357265544405,1206224122748.3765,1206224122748.3765,0.17044095151038324,0.0,0.0,,
Ampara,PF,25.0,Galle,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.04951915882744547,350461755427.7487,350461755427.7487,0.049520676909530915,0.0,0.0,,
Ampara,PF,25.0,Gampaha,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.16014954047478178,1133425736921.6853,1133425736921.6853,0.16015445009267817,0.0,0.0,,
Ampara,PF,25.0,Hambantota,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.030935476068652806,218939527745.0528,218939527745.0528,0.030936424440821005,0.0,0.0,,
Ampara,PF,25.0,Kalutara,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.0778096449668751,550681905953.2819,550681905953.2819,0.07781203033510223,0.0,0.0,,
Ampara,PF,25.0,Kandy,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.06889994902738304,487625348588.0289,487625348588.0289,0.06890206125587768,0.0,0.0,,
Ampara,PF,25.0,Kegalle,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.038830069006684745,274811900478.42673,274811900478.42673,0.03883125939912135,0.0,0.0,,
Ampara,PF,25.0,Kurunegala,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.08088458042664395,572444135049.5549,572444135049.5549,0.0808870600615053,0.0,0.0,,
Ampara,PF,25.0,Mannar,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.0031221464219857026,22096355060.561516,22096355060.561516,0.0031222421359409394,0.0,0.0,,
