region,pop_q1,Asset risk,Well-being risk,Asset risk pc,Well-being risk pc
ARMM,738651.6017500005,23269.049747916608,392467.4438845947,31.50206361536072,531.329578051097
CAR,355585.85845999984,55241.471744988005,632394.0614309413,155.35339899126546,1778.456725387688
I - Ilocos,1024480.6498000006,518816.67485266435,4773336.754625228,506.4192036754895,4659.274682793746
II - Cagayan Valley,698248.979569999,525376.0190163673,3519733.9021644583,752.4193151559037,5040.800638666178
III - Central Luzon,2218515.82107,958436.6430642426,7751762.447376966,432.01704218723324,3494.1208774604347
IVA - CALABARZON,2824506.726119996,1309132.8219712714,10304418.78263452,463.49077871364017,3648.2188862724443
IVB - MIMAROPA,614681.3299000001,82617.06423329117,1131349.7577286148,134.40633416787165,1840.546804817822
IX - Zamboanga Peninsula,751288.15202,16130.01192871956,195543.23911373026,21.469807403924243,260.27728320747525
NCR,2528171.0189899984,1186330.834380626,4189259.626750916,469.2446932860436,1657.031741636102
V - Bicol,1206347.1307599992,656715.5484357424,12020932.054148352,544.3835623184276,9964.737137125
VI - Western Visayas,1539372.55589,212523.49632070627,3034044.2388664335,138.05851969202752,1970.9616280071186
VII - Central Visayas,1486511.6086499994,240460.6688899707,4910422.08422199,161.7617161485534,3303.319029362625
VIII - Eastern Visayas,906203.3297399997,281265.4756298124,4893395.150574439,310.3778880513612,5399.886526546323
X - Northern Mindanao,940400.0547300003,25730.316349800607,447253.76699385967,27.361032382317415,475.5994693367722
XI - Davao,990796.7652999989,63603.98976075694,759717.2099333844,64.19478947481078,766.7740111195793
XII - SOCCSKSARGEN,912746.8118799998,28035.927799139943,799943.129276065,30.71599641240475,876.4129535861198
XIII - Caraga,541711.8227999995,62459.329878756114,1146618.8966576573,115.29992008650724,2116.658430548949
Total,20278220.21742999,6246145.34400477,60902592.54638215,308.0223647357347,3003.3499929167247
