,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,0.7950000000000005,17130,0,17130.0,2.1395194022393662e-05,0.0,0.016,5905.8651929582875,0.0,5905.8651929582875,2,36346.798828125,0,0.009729778363522642,0.002682840817254728,-1,0.038535645472061654,0.038535645472061654,17119.440000000002,3498.93,3521.06,5326.0,8.031,86746.66223374387,5626.28,5626.28,0,5900.28,5326.0,11.05
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.8450000000000005,34666,0,34666.0,2.1395194022393662e-05,0.0,0.8450000000000005,40682.19037030431,0.0,40682.19037030431,1,36346.798828125,0,0.006526245786778747,0.004941390483063473,-1,0.0,0.0,33555.36,7060.290000000001,7826.22,20151.0,0.841,241874.539160584,11205.49,11205.49,0,40025.2,20151.0,376.69
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,71724,0,71724.0,2.1395194022393662e-05,0.0,0.8450000000000005,84171.50585933498,0.0,84171.50585933498,1,36346.798828125,0,0.004589642686662065,0.005151562115401912,-1,0.0,0.0,69426.09,14258.13,15824.17,42177.0,0.827,214473.74587337172,23184.17,23184.17,0,82812.18,42177.0,770.03
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,1.1150000000000009,47901,0,47901.0,2.1395194022393662e-05,0.0,1.1150000000000009,69147.35875924386,0.0,69147.35875924386,1,36346.798828125,0,0.004643500821149795,0.003133253331633656,-1,0.0,0.0,45886.42,13886.58,15459.22,26873.0,0.853,189991.2745257975,15403.25,15403.25,0,67677.67,26873.0,772.31
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,0.9650000000000006,38133,0,38133.0,2.1395194022393662e-05,0.0,0.9650000000000006,49326.838826250925,0.0,49326.838826250925,1,36346.798828125,0,0.005775933677332382,0.0041428031005867495,-1,0.0,0.0,36741.0,8979.83,9991.58,22166.0,0.836,227528.87356803616,12297.7,12297.7,0,48418.16,22166.0,497.2
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,0.7550000000000004,48577,0,48577.0,2.1395194022393662e-05,0.0,0.7550000000000004,52635.476727579546,0.0,52635.476727579546,1,36346.798828125,0,0.005978262876591124,0.006023837351119614,-1,0.0,0.0,47184.049999999996,8415.74,9326.72,28237.0,0.836,339523.85213113914,15729.35,15729.35,0,51875.32,28237.0,448.22
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,33115,0,33115.0,2.1395194022393662e-05,0.0,0.8450000000000005,38862.018522835846,0.0,38862.018522835846,1,36346.798828125,0,0.006551783832808398,0.004656592748360619,-1,0.0,0.0,32054.059999999998,7025.01,7765.32,19025.0,0.855,198045.2449353527,10704.14,10704.14,0,38234.42,19025.0,364.16
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,0.6450000000000004,56196,0,56196.0,2.1395194022393662e-05,0.0,0.6450000000000004,54709.4635334224,0.0,54709.4635334224,1,36346.798828125,0,0.0061043483897546946,0.0075412103518428825,-1,0.0,0.0,54816.43,8107.289999999999,8945.41,32286.0,0.833,281149.54142496316,18235.01,18235.01,0,54033.75,32286.0,412.59
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,1.2150000000000007,37138,0,37138.0,2.1395194022393662e-05,0.0,1.2150000000000007,57324.74765507904,0.0,57324.74765507904,1,36346.798828125,0,0.004413495638762264,0.0016270497608321735,-1,0.0,0.0,35439.25,15583.12,17112.5,16316.0,1.039,65341.487384769,11919.74,11919.74,0,55998.34,16316.0,752.06
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,1.0350000000000006,48879,0,48879.0,2.1395194022393662e-05,0.0,1.0350000000000006,66648.82800929165,0.0,66648.82800929165,1,36346.798828125,0,0.004803528445287457,0.003508931370672465,-1,0.0,0.0,46967.86,12997.980000000001,14446.35,27752.0,0.853,172595.3365671013,15741.98,15741.98,0,65332.87,27752.0,711.63
