,district,hazard,rp,level_0,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,8610.108335066852,0.0,8610.108335066852,0.0,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,5905.865192958295,0.40375059379217165,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0026578697521923308,-1,0.1926782273603083,0.1926782273603083,False,8002.343728879118,6914.273009598616,3521.055335090274,1151.8703366665384,2649.681295852057,0.0,2649.681295852057,5905.865192958296,1151.8703366665384,91.15765474792856,1.7916935127540214e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,37233.094412897175,0.0,37233.094412897175,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.03064820029392417,-1,0.0,0.0,True,30405.132624538415,3523.010352275914,7826.217144792736,24176.8104080632,10193.962107715137,0.0,10193.962107715137,42816.90489427875,24176.8104080632,350.85360285388515,1.7916935127540214e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,58877.982920567185,0.0,58877.982920567185,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.02560639836267557,-1,0.0,0.0,True,45059.331049510794,6874.560159558068,15824.171935582746,42243.39891557158,15205.455974567236,0.0,15205.455974567236,79455.25930630974,42243.39891557158,696.6976757225176,1.7916935127540214e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,78894.05580908769,0.0,78894.05580908769,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.03212027529781856,-1,0.0,0.0,True,65451.273497434864,7011.64198482958,15459.224066764657,49568.51100184126,21909.30540082483,0.0,21909.30540082483,86560.2392721026,49568.51100184126,697.2691054475862,1.7916935127540214e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,48547.575057080176,0.0,48547.575057080176,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.031088532553940805,-1,0.0,0.0,True,39837.827959153045,4508.525631340335,9991.584135161096,31218.78605403801,13349.983552598154,0.0,13349.983552598154,55048.14527650136,31218.78605403801,448.72258877035665,1.7916935127540214e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,53428.783936902604,0.0,53428.783936902604,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.034589339631625256,-1,0.0,0.0,True,45388.01410061529,4271.231397584916,9326.71550074149,31690.738043252688,15157.322175477133,0.0,15157.322175477133,54209.93273081009,31690.738043252688,425.4239341404905,1.7916935127540214e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,47844.58533055098,0.0,47844.58533055098,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.03618097445397065,-1,0.0,0.0,True,41200.18149800883,3571.321845538959,7765.324791906837,27318.099828172773,13740.115570380149,0.0,13740.115570380149,46192.414142321715,27318.099828172773,357.0463454280448,1.7916935127540214e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,29693.02814871281,0.0,29693.02814871281,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.023307652172224514,-1,0.0,0.0,True,21920.223439477988,3805.704543743006,8945.407340877156,22080.006100574617,7423.758198919572,0.0,7423.758198919572,43016.03177420234,22080.006100574617,390.9403834962175,1.7916935127540214e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,82596.93526411754,0.0,82596.93526411754,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.030949884455144124,-1,0.0,0.0,True,67675.6856526826,7715.982982082001,17112.495295110846,53278.31165399523,22682.525089103612,0.0,22682.525089103612,94073.26932814253,53278.31165399523,768.0918463838532,1.7916935127540214e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,58306.997594902874,0.0,58306.997594902874,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.02725913303878098,-1,0.0,0.0,True,45672.87002999223,6359.839575956228,14446.345977434743,40598.91248741015,15376.674830929092,0.0,15376.674830929092,74697.73969128076,40598.91248741015,639.5776882649532,1.7916935127540214e-05
10,Ampara,PF,5.0,10,52101053031,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,187466.7401595469,570592.8662809753,82172.76412731368,0.0,82172.76412731368,0.0,26997.639001783784,0.0,26997.639001783784,103905.97279018449,0.0,103905.97279018449,0.9359346080806461,1,36346.798828125,0.0,0,0.0,0.004619211863019197,0.03276023752842921,-1,0.0,0.0,True,68613.52613650898,7105.8724206222805,15622.228346628908,50875.860885537426,22952.999352622457,0.0,22952.999352622457,88339.34426744253,50875.860885537426,706.584192421965,1.7916935127540214e-05
11,Ampara,PF,5.0,11,52101053041,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,98597.30716633184,300100.8075125373,25781.432795731962,0.0,25781.432795731962,0.0,8470.41988863269,0.0,8470.41988863269,51665.70595961423,0.0,51665.70595961423,1.675441641014319,1,36346.798828125,0.0,0,0.0,0.006369384529710047,0.022182522902787535,-1,0.0,0.0,True,18668.422279503295,3456.541619751668,8216.442263860987,19451.820537159834,6334.691204136907,0.0,6334.691204136907,38638.73307356468,19451.820537159834,357.80153921128635,1.7916935127540214e-05
12,Ampara,PF,5.0,12,52101053051,helped,a,43493.30859375,0.0,4.502747025578729,0.0,102961.1308684206,313382.9858445473,21884.519114586896,0.0,21884.519114586896,0.0,7190.099457623889,0.0,7190.099457623889,53090.46530911314,0.0,53090.46530911314,2.097389739804465,1,36346.798828125,0.0,0,0.0,0.006232945703484369,0.018079114735203697,-1,0.0,0.0,True,14609.297775558689,3447.839607779164,8580.09423903505,17036.69173338482,4997.7899312840445,0.0,4997.7899312840445,36902.82652317521,17036.69173338482,368.6014976402564,1.7916935127540214e-05
13,Ampara,PF,5.0,13,52101053071,helped,a,43493.30859375,0.0,4.502747025578729,0.0,145297.51332983177,442242.3120165664,58556.03847796616,0.0,58556.03847796616,0.0,19238.427780686263,0.0,19238.427780686263,79655.00741206798,0.0,79655.00741206798,1.0317736855459518,1,36346.798828125,0.0,0,0.0,0.005246877259162607,0.030990365906484116,-1,0.0,0.0,True,47999.178378889475,5460.7225006129065,12108.126110819314,37736.87049976761,16086.64514108155,0.0,16086.64514108155,66605.33036044432,37736.87049976761,543.5600640149215,1.7916935127540214e-05
14,Ampara,PF,5.0,14,52101053081,helped,a,43493.30859375,0.0,6.303845835810221,0.0,115447.63546244109,351388.18314018013,38105.608082145496,0.0,38105.608082145496,0.0,12519.494285859919,0.0,12519.494285859919,61850.06185752963,0.0,61850.06185752963,1.2945749997041436,1,36346.798828125,0.0,0,0.0,0.00588623334315135,0.02687538492989399,-1,0.0,0.0,True,29693.407424492223,4222.921840176908,9620.636288536758,26725.384848266396,10002.091267076788,0.0,10002.091267076788,49413.334871845815,26725.384848266396,425.371252653208,1.7916935127540214e-05
15,Ampara,PF,5.0,15,52101053091,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,95714.04244082206,291325.009295876,30547.904357107775,0.0,30547.904357107775,0.0,10036.431205069828,0.0,10036.431205069828,51099.30421657787,0.0,51099.30421657787,1.3442124386497787,1,36346.798828125,0.0,0,0.0,0.006464607566986865,0.026192191245965363,-1,0.0,0.0,True,23577.564810048672,3482.0684002228027,7976.170203401838,21693.68940029614,7949.596483009535,0.0,7949.596483009535,40474.431676385466,21693.68940029614,351.85151081320106,1.7916935127540214e-05
16,Ampara,PF,5.0,16,52101053101,helped,a,43493.30859375,0.0,6.303845835810221,0.0,118301.56240584551,360074.68589479,35333.57675210021,0.0,35333.57675210021,0.0,11608.750903365846,0.0,11608.750903365846,62743.61924034513,0.0,62743.61924034513,1.4472032847322722,1,36346.798828125,0.0,0,0.0,0.005814799647956988,0.024850335643363232,-1,0.0,0.0,True,26735.41607196023,4254.78759252676,9858.463533820459,25672.118020394257,9032.228222550524,0.0,9032.228222550524,48817.88688594358,25672.118020394257,432.975360776686,1.7916935127540214e-05
17,Ampara,PF,5.0,17,52101054011,helped,a,43493.30859375,0.0,0.9005494051157459,0.0,162408.5476928466,494323.19918575464,70728.41578319686,0.0,70728.41578319686,0.0,23237.629362501997,0.0,23237.629362501997,89938.34223099053,0.0,89938.34223099053,0.9430539639534073,1,36346.798828125,0.0,0,0.0,0.004962786066982747,0.032622515027134924,-1,0.0,0.0,True,58976.64078606268,6152.390518294374,13534.04564107055,43929.61263640936,19731.918450978745,0.0,19731.918450978745,76369.92598659151,43929.61263640936,611.7659592849317,1.7916935127540214e-05
18,Ampara,PF,5.0,18,52101054021,helped,a,43493.30859375,0.0,6.303845835810221,0.0,135091.45733174606,411178.120360939,41347.641027187514,0.0,41347.641027187514,0.0,13584.655425462386,0.0,13584.655425462386,71819.4533469778,0.0,71819.4533469778,1.4084188716648671,1,36346.798828125,0.0,0,0.0,0.005441467658575148,0.025344324879011924,-1,0.0,0.0,True,31520.676248687483,4879.733164451805,11257.621444312172,29798.12753035202,10640.914099200721,0.0,10640.914099200721,56256.46067432235,29798.12753035202,495.219092581317,1.7916935127540214e-05
19,Ampara,PF,5.0,19,52101054031,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,193196.42599684995,588032.3217385879,84806.06662901456,0.0,84806.06662901456,0.0,27862.80340361974,0.0,27862.80340361974,107102.56570741994,0.0,107102.56570741994,0.9343643144120309,1,36346.798828125,0.0,0,0.0,0.004550199639156125,0.03279075985647675,-1,0.0,0.0,True,70833.73858399547,7324.0078046072485,16099.702166404162,52469.213464767585,23695.000917526384,0.0,23695.000917526384,91081.83968225727,52469.213464767585,728.2782960167164,1.7916935127540214e-05
20,Ampara,PF,5.0,20,52101054051,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,223170.11200002788,679263.2856685289,96366.38787026009,0.0,96366.38787026009,0.0,31660.91562401734,0.0,31660.91562401734,123445.89536260461,0.0,123445.89536260461,0.9524584428977368,1,36346.798828125,0.0,0,0.0,0.004233621031506153,0.032442218776462625,-1,0.0,0.0,True,80209.29956762888,8447.446337283909,18597.509333335656,60102.056953410065,26840.62963330164,0.0,26840.62963330164,104651.60251605375,60102.056953410065,839.9830499422039,1.7916935127540214e-05
21,Ampara,PF,5.0,21,52101054061,helped,a,43493.30859375,0.0,6.303845835810221,0.0,106204.43527777874,323254.63751770486,40060.96155979169,0.0,40060.96155979169,0.0,13161.920372788001,0.0,13161.920372788001,57754.58488699998,0.0,57754.58488699998,1.1131201743037706,1,36346.798828125,0.0,0,0.0,0.00613703596878039,0.029614338453099923,-1,0.0,0.0,True,32327.824884220696,3959.916759014342,8850.369606481561,26599.724133192594,10851.477224186885,0.0,10851.477224186885,47616.34660770205,26599.724133192594,395.17591583302726,1.7916935127540214e-05
22,Ampara,PF,5.0,22,52101054071,helped,a,43493.30859375,0.0,4.502747025578729,0.0,70674.3889680465,215111.76937100297,18260.05764212643,0.0,18260.05764212643,0.0,5999.292461552109,0.0,5999.292461552109,34327.59013992151,0.0,34327.59013992151,1.7347007230858975,2,36346.798828125,0.0,0,0.0,0.007523136893750576,0.020307777830350628,-1,0.0,0.0,True,13166.82777399319,2299.2468993183097,5889.532414003876,12931.889649864588,4472.958437258247,0.0,4472.958437258247,28089.78457243684,12931.889649864588,283.11457551496335,1.7916935127540214e-05
23,Ampara,PF,5.0,23,52101054081,helped,a,43493.30859375,0.0,2.701648215347238,0.0,153146.89054520603,466133.4760706766,40245.54494700049,0.0,40245.54494700049,0.0,13222.564744515217,0.0,13222.564744515217,80284.3646558675,0.0,80284.3646558675,1.666316110259315,1,36346.798828125,0.0,0,0.0,0.005110647227408239,0.022282157007273665,-1,0.0,0.0,True,29193.219658807055,5374.370954571018,12762.240878767168,30328.49490236996,9904.29270350534,0.0,9904.29270350534,60136.5818531164,30328.49490236996,555.9336239236353,1.7916935127540214e-05
24,Ampara,PF,5.0,24,52101054091,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,140822.95956858035,428623.10439718893,77257.05433287127,0.0,77257.05433287127,0.0,25382.59586824294,0.0,25382.59586824294,80709.92031926804,0.0,80709.92031926804,0.7161459225799718,1,36346.798828125,0.0,0,0.0,0.0053295833920314626,0.037658527480299235,-1,0.0,0.0,True,67299.47952324658,5411.0402298626095,11735.24663071503,42566.40397825032,22418.277431754344,0.0,22418.277431754344,71284.17418786995,42566.40397825032,543.8962348712197,1.7916935127540214e-05
25,Ampara,PF,5.0,25,52101054101,helped,a,43493.30859375,0.0,6.303845835810221,0.0,78970.67078033325,240363.1777793352,26520.369460461436,0.0,26520.369460461436,0.0,8713.195527634438,0.0,8713.195527634438,42385.63040064214,0.0,42385.63040064214,1.2696819674103375,1,36346.798828125,0.0,0,0.0,0.007117001906923673,0.027227771965752406,-1,0.0,0.0,True,20765.086148679253,2896.4736570850105,6580.8892316944375,18477.04730436285,6991.272183545982,0.0,6991.272183545982,34009.2768333091,18477.04730436285,291.321765763218,1.7916935127540214e-05
26,Ampara,PF,5.0,26,52102059011,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,83271.65877734953,253454.1029587509,27997.61569565869,0.0,27997.61569565869,0.0,9198.540775517406,0.0,9198.540775517406,44699.70606485073,0.0,44699.70606485073,1.2680067358320852,1,36346.798828125,0.0,0,0.0,0.006930768417372292,0.02725173055129995,-1,0.0,0.0,True,21928.82678191205,3054.7789850256313,6939.30489811246,19497.36896952088,7382.846722493903,0.0,7382.846722493903,35876.45980715473,19497.36896952088,307.21341690591316,1.7916935127540214e-05
27,Ampara,PF,5.0,27,52102059021,helped,a,43493.30859375,0.0,1.6209861161867876,1249.999969482422,70735.02741562157,211491.7215641069,37635.392801876085,0.0,37635.392801876085,0.0,12365.033149468627,0.0,12365.033149468627,34388.228587496575,0.0,34388.228587496575,0.6905902490051149,2,36346.798828125,0.0,0,0.0,0.007519911552857938,0.030790499230269476,-1,0.0,0.0,True,33296.44956949248,2830.714437389126,5894.585617968464,18276.979084772014,11086.015728672546,0.0,11086.015728672546,34388.228587496575,18276.979084772014,306.0399437930414,1.7916935127540214e-05
