,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,scale_fac_soc,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,8610.108335066852,0.0,8610.108335066852,0.0,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,5905.865192958295,0.3573749956858552,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,0.019267822736030827,0.019267822736030827,False,8551.02417875213,18619.831120721108,3521.055335090274,0.0,2.1455891328553575e-05,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,113.40228069197421
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,37233.094412897175,0.0,37233.094412897175,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.00309183261841592,-1,0.0,0.0,True,36486.39106535461,7312.019692606154,7826.217144792736,24176.8104080632,2.1455891328553575e-05,12232.832283958753,0.0,12232.832283958753,51380.612460146,24176.8104080632,514.1974521865814
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,58877.982920567185,0.0,58877.982920567185,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.0025832087019337147,-1,0.0,0.0,True,57323.94952336961,14716.296957971808,15824.171935582746,42243.39891557158,2.1455891328553575e-05,19344.20175497422,0.0,19344.20175497422,101082.04377993297,42243.39891557158,1107.8749776109385
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,78894.05580908769,0.0,78894.05580908769,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.003240337570424398,-1,0.0,0.0,True,77433.99476533559,14459.44585559538,15459.224066764657,49568.51100184126,2.1455891328553575e-05,25920.428267695934,0.0,25920.428267695934,102407.55842504543,49568.51100184126,999.7782111692762
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,48547.575057080176,0.0,48547.575057080176,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.003136253942715675,-1,0.0,0.0,True,47597.084661581684,9338.305047649881,9991.584135161096,31218.78605403801,2.1455891328553575e-05,15950.17424231194,0.0,15950.17424231194,65769.93188170761,31218.78605403801,653.2790875112157
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,53428.783936902604,0.0,53428.783936902604,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.0034894201779191126,-1,0.0,0.0,True,52564.42023931069,8737.481552838655,9326.71550074149,31690.738043252688,2.1455891328553575e-05,17553.88219383677,0.0,17553.88219383677,62781.19326592077,31690.738043252688,589.2339479028346
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,47844.58533055098,0.0,47844.58533055098,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.00364998648893052,-1,0.0,0.0,True,47134.5568552853,7281.034670699408,7765.324791906837,27318.099828172773,2.1455891328553575e-05,15719.208872455416,0.0,15719.208872455416,52845.85871980619,27318.099828172773,484.29012120742914
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,29693.02814871281,0.0,29693.02814871281,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.002351308023103157,-1,0.0,0.0,True,28805.375347881713,8298.043513256316,8945.407340877156,22080.006100574617,2.1455891328553575e-05,9755.563943142228,0.0,9755.563943142228,56527.3864408114,22080.006100574617,647.3638276208399
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,82596.93526411754,0.0,82596.93526411754,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.003122266931725476,-1,0.0,0.0,True,80967.5142470662,15991.925803872971,17112.495295110846,53278.31165399523,2.1455891328553575e-05,27137.482037005564,0.0,27137.482037005564,112549.71015905513,53278.31165399523,1120.569491237875
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,58306.997594902874,0.0,58306.997594902874,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.0027499388502675074,-1,0.0,0.0,True,56900.28494612462,13457.250531094423,14446.345977434743,40598.91248741015,2.1455891328553575e-05,19156.606073347673,0.0,19156.606073347673,93060.11797538096,40598.91248741015,989.0954463403198
10,Ampara,PF,5.0,10,52101053031,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,187466.7401595469,570592.8662809753,82172.76412731368,0.0,82172.76412731368,0.0,26997.639001783784,0.0,26997.639001783784,103905.97279018449,0.0,103905.97279018449,0.9359346080806461,1,36346.798828125,0.0,0,0.0,0.004619211863019197,0.003304897840853995,-1,0.0,0.0,True,80704.1894967545,14618.397359149138,15622.228346628908,50875.860885537426,2.1455891328553575e-05,26997.639001783784,0.0,26997.639001783784,103905.97279018449,50875.860885537426,1003.8309874797698
11,Ampara,PF,5.0,11,52101053041,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,98597.30716633184,300100.8075125373,25781.432795731962,0.0,25781.432795731962,0.0,8470.41988863269,0.0,8470.41988863269,51665.70595961423,0.0,51665.70595961423,1.675441641014319,1,36346.798828125,0.0,0,0.0,0.006369384529710047,0.0022378034341935965,-1,0.0,0.0,True,24962.444146043148,7611.64750145524,8216.442263860987,19451.820537159834,2.1455891328553575e-05,8470.41988863269,0.0,8470.41988863269,51665.70595961423,19451.820537159834,604.7947624057472
12,Ampara,PF,5.0,12,52101053051,helped,a,43493.30859375,0.0,4.502747025578729,0.0,102961.1308684206,313382.9858445473,21884.519114586896,0.0,21884.519114586896,0.0,7190.099457623889,0.0,7190.099457623889,53090.46530911314,0.0,53090.46530911314,2.097389739804465,1,36346.798828125,0.0,0,0.0,0.006232945703484369,0.0018238459718454682,-1,0.0,0.0,True,21017.750937227305,7905.810424795402,8580.09423903505,17036.69173338482,2.1455891328553575e-05,7190.099457623889,0.0,7190.099457623889,53090.46530911314,17036.69173338482,674.2838142396482
13,Ampara,PF,5.0,13,52101053071,helped,a,43493.30859375,0.0,4.502747025578729,0.0,145297.51332983177,442242.3120165664,58556.03847796616,0.0,58556.03847796616,0.0,19238.427780686263,0.0,19238.427780686263,79655.00741206798,0.0,79655.00741206798,1.0317736855459518,1,36346.798828125,0.0,0,0.0,0.005246877259162607,0.0031263507562402423,-1,0.0,0.0,True,57403.43736534105,11315.610008894442,12108.126110819314,37736.87049976761,2.1455891328553575e-05,19238.427780686263,0.0,19238.427780686263,79655.00741206798,37736.87049976761,792.516101924872
14,Ampara,PF,5.0,14,52101053081,helped,a,43493.30859375,0.0,6.303845835810221,0.0,115447.63546244109,351388.18314018013,38105.608082145496,0.0,38105.608082145496,0.0,12519.494285859919,0.0,12519.494285859919,61850.06185752963,0.0,61850.06185752963,1.2945749997041436,1,36346.798828125,0.0,0,0.0,0.00588623334315135,0.0027112258129950574,-1,0.0,0.0,True,37166.8718723147,8958.600295785447,9620.636288536758,26725.384848266396,2.1455891328553575e-05,12519.494285859919,0.0,12519.494285859919,61850.06185752963,26725.384848266396,662.0359927513114
15,Ampara,PF,5.0,15,52101053091,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,95714.04244082206,291325.009295876,30547.904357107775,0.0,30547.904357107775,0.0,10036.431205069828,0.0,10036.431205069828,51099.30421657787,0.0,51099.30421657787,1.3442124386497787,1,36346.798828125,0.0,0,0.0,0.006464607566986865,0.002642304294067075,-1,0.0,0.0,True,29766.870268809453,7422.228896402447,7976.170203401838,21693.68940029614,2.1455891328553575e-05,10036.431205069828,0.0,10036.431205069828,51099.30421657787,21693.68940029614,553.9413069993905
16,Ampara,PF,5.0,16,52101053101,helped,a,43493.30859375,0.0,6.303845835810221,0.0,118301.56240584551,360074.68589479,35333.57675210021,0.0,35333.57675210021,0.0,11608.750903365846,0.0,11608.750903365846,62743.61924034513,0.0,62743.61924034513,1.4472032847322722,1,36346.798828125,0.0,0,0.0,0.005814799647956988,0.002506936054446431,-1,0.0,0.0,True,34361.929064452845,9160.876058433805,9858.463533820459,25672.118020394257,2.1455891328553575e-05,11608.750903365846,0.0,11608.750903365846,62743.61924034513,25672.118020394257,697.5874753866535
17,Ampara,PF,5.0,17,52101054011,helped,a,43493.30859375,0.0,0.9005494051157459,0.0,162408.5476928466,494323.19918575464,70728.41578319686,0.0,70728.41578319686,0.0,23237.629362501997,0.0,23237.629362501997,89938.34223099053,0.0,89938.34223099053,0.9430539639534073,1,36346.798828125,0.0,0,0.0,0.004962786066982747,0.0032910042054134863,-1,0.0,0.0,True,69454.84409114637,12663.206726015329,13534.04564107055,43929.61263640936,2.1455891328553575e-05,23237.629362501997,0.0,23237.629362501997,89938.34223099053,43929.61263640936,870.8389150552213
18,Ampara,PF,5.0,18,52101054021,helped,a,43493.30859375,0.0,6.303845835810221,0.0,135091.45733174606,411178.120360939,41347.641027187514,0.0,41347.641027187514,0.0,13584.655425462386,0.0,13584.655425462386,71819.4533469778,0.0,71819.4533469778,1.4084188716648671,1,36346.798828125,0.0,0,0.0,0.005441467658575148,0.0025567703682814187,-1,0.0,0.0,True,40240.671207762054,10466.569554100348,11257.621444312172,29798.12753035202,2.1455891328553575e-05,13584.655425462386,0.0,13584.655425462386,71819.4533469778,29798.12753035202,791.0518902118235
19,Ampara,PF,5.0,19,52101054031,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,193196.42599684995,588032.3217385879,84806.06662901456,0.0,84806.06662901456,0.0,27862.80340361974,0.0,27862.80340361974,107102.56570741994,0.0,107102.56570741994,0.9343643144120309,1,36346.798828125,0.0,0,0.0,0.004550199639156125,0.003307976975306993,-1,0.0,0.0,True,83292.95024628742,15065.501410411893,16099.702166404162,52469.213464767585,2.1455891328553575e-05,27862.80340361974,0.0,27862.80340361974,107102.56570741994,52469.213464767585,1034.2007559922704
20,Ampara,PF,5.0,20,52101054051,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,223170.11200002788,679263.2856685289,96366.38787026009,0.0,96366.38787026009,0.0,31660.91562401734,0.0,31660.91562401734,123445.89536260461,0.0,123445.89536260461,0.9524584428977368,1,36346.798828125,0.0,0,0.0,0.004233621031506153,0.0032728156715530745,-1,0.0,0.0,True,94614.01988578639,17398.703770506054,18597.509333335656,60102.056953410065,2.1455891328553575e-05,31660.91562401734,0.0,31660.91562401734,123445.89536260461,60102.056953410065,1198.8055628296022
21,Ampara,PF,5.0,21,52101054061,helped,a,43493.30859375,0.0,6.303845835810221,0.0,106204.43527777874,323254.63751770486,40060.96155979169,0.0,40060.96155979169,0.0,13161.920372788001,0.0,13161.920372788001,57754.58488699998,0.0,57754.58488699998,1.1131201743037706,1,36346.798828125,0.0,0,0.0,0.00613703596878039,0.0029875352132912995,-1,0.0,0.0,True,39210.90632740376,8261.93180351088,8850.369606481561,26599.724133192594,2.1455891328553575e-05,13161.920372788001,0.0,13161.920372788001,57754.58488699998,26599.724133192594,588.4378029706801
22,Ampara,PF,5.0,22,52101054071,helped,a,43493.30859375,0.0,4.502747025578729,0.0,70674.3889680465,215111.76937100297,18260.05764212643,0.0,18260.05764212643,0.0,5999.292461552109,0.0,5999.292461552109,34327.59013992151,0.0,34327.59013992151,1.5513805177161804,2,36346.798828125,0.0,0,0.0,0.007523136893750576,0.002048676571585483,-1,0.0,0.0,True,17722.310163733615,5487.071544759479,5889.532414003876,12931.889649864588,2.1455891328553575e-05,5999.292461552109,0.0,5999.292461552109,34327.59013992151,12931.889649864588,402.460869244396
